State,address,cooking_type,cuisine,name,pr,rating,review,stars,usd_avg,price
CA,"1788 4th St., Berkeley 94710",Mexican,Mexican,Tacubaya,$$,4.1,"Megapopular Oakland Mexican restaurant Doña Tomas is reincarnated in taqueria form at this Berkeley shopping complex, where families grab a bite before or after errands. A line of people extends out the door from morning until night, ordering tangy limeade at the counter and claiming seats in the festive pink-and-orange dining room or on the sunny front patio. The crowds come for chilaquiles and churros at breakfast, then transition into flavorful chorizo-and-potato sopes with black bean purée at lunch. Moist, well-seasoned beef enchiladas are doused in a smoky, tangy guajillo-tomatillo sauce and covered with melted cheese. For a sweet finish, tamales filled with cranberry jam and drizzled with goat-milk caramel are both beguiling and unusual.",0.0,18.5,2.0
CA,"5008 Telegraph Ave., Oakland 94609",Pizza,Italian,Pizzaiolo,$$$,4.4,"Lines are still a given at Temescal's pizza palace. In fact, find eager patrons arriving before the doors even open. A smattering of entrées and hearty plates like king salmon baked on a fig leaf with asparagus and mint yogurt evoke spring on a plate. But, crowds are here for their pies, crisp from the wood-burning oven and topped with the finest and freshest of ingredients like tangy tomato sauce, house-made sausage, and decadent panna. The large dining room with handsome plank floors and dark wood tables centers around the exhibition kitchen lined with bowls of pristine local produce. Couples and groups gather at tables or pack the polished wood bar. Add on a rich caramel pot de crème and the endless queues will start to make sense.",0.0,37.0,3.0
CA,"44 E. Blithedale Ave., Mill Valley 94941",American,Contemporary,Bungalow 44,$$$,4.1,"Nestled amid the fancy stores of quaint Mill Valley, vibrant Bungalow 44 draws a varied crew to its casual, contemporary environs. It's always busy at the bustling bar and slightly more subdued dining room, so for some peace and quiet, retire to the tented outer room with its glowing fireplace. Some prefer the counter to soak up the sizzle from the open kitchen. Playful American cuisine is their dictum which shines through in tuna carpaccio-an homage to Italian antipasto-here starring tissue-thin slices of tuna served with citrusy mizuna and creamy mustard sauce. The whiff of cayenne from kickin' fried chicken is as tempting as the juicy meat-add the rich mashed potatoes. Local draft wines paired with pillowy-soft beignets make for a rewarding finish.",0.0,37.0,3.0
CA,"120 Sir Francis Drake Blvd., San Anselmo 94960",Mediterranean,Mediterranean,Insalata's,$$,3.9,"San Anselmo restaurateur Chef Heidi Krahling honors her late father, Italo Insalata, at this crowd-pleasing Marin hangout. The zucca-orange stucco exterior alludes to the Mediterranean air within. Insalata's upscale setting is framed by lemon-yellow walls hung with grand depictions of nature's bounty setting the scene for the array of fresh and flavorful cuisine to come. Sparked by Middle Eastern flavors, Insalata's specialties include velvety smooth potato-leek soup made brilliantly green from watercress purée. Also sample grilled lamb skewers drizzled with cumin-yogurt atop crunchy salad and flatbread. The takeout area in the back is stocked with salads, sides, and sandwiches made with house-baked bread. Boxed lunches are a fun, tasty convenience.",0.0,37.0,2.0
CA,"107 Caledonia St., Sausalito 94965",Japanese,Japanese,Sushi Ran,$$$$,4.5,"Chefs have come and gone at this Sausalito staple, but its Zen-like atmosphere and exquisite selection of raw fish haven't changed for upwards of a decade-and that's just how the regulars like it. With its charming beachside-bungalow ambience, attentive staff, and thoughtfully curated sake selection, Sushi Ran is as dependable as a restaurant can get. Start off with a small bite like shrimp tempura over crisp veggies, tobiko, and asparagus, or a steamed red crab salad with seaweed, cucumber, and sweet soy dressing. Then move on to the main event: meticulously sourced, extraordinarily fresh hamachi, big-eye tuna, steamed blue prawns, and Santa Barbara uni. Whether you choose sashimi or nigiri, the talented chefs will steer you right.",0.0,37.0,4.0
CA,"2355 Chestnut St., San Francisco 94123",Italian,Italian,A16,$$$,4.2,"An undying favorite of yuppies, families, and tourists alike, A16 is known for rustic Italian cooking and a vast selection of delicious, unusual wines from all over the boot. Dinner reservations are indispensable, especially if you want one of the prime counter seats facing the open kitchen and wood-burning pizza oven. The menu's pies, pastas, and antipasti change with the season, so you could sample anything from perfectly al dente bucatini with roasted cherry tomatoes, garlic, and flaky white anchovies to grilled bruschetta piled with caramelized prosciutto, creamy ricotta, cherry tomatoes, and blistered shishito peppers. For dessert, look no further than the fig crostata with vanilla gelato, which tastes like the work of a particularly talented nonna.",0.0,37.0,3.0
CA,"2142 Chestnut St., San Francisco 94123",Chinese,Chinese,Dragon Well,$$,3.9,"This Marina mainstay nestled among the posh boutiques of Chestnut Street has been at it for over a decade. Westernized classics crafted with fantastically fresh ingredients are the secret to their ongoing success. Inside, high ceilings with sunny skylights and butter-yellow walls evoke an airy feel, while framed photos depict the everyday life of the vast Chinese culture. Pop in for a shopping break and nosh on tasty tea-smoked duck, served with hand-made steamed buns, thick hoisin sauce, and julienned leeks; or Chinese chicken salad, mixed with cilantro and a lemon-soy vinaigrette. The Kung Pao chicken, stir-fried with roasted peanuts and chili sauce, is fiery but never overpowering. Sweeten things up with a chocolate (or traditional) fortune cookie.",0.0,18.5,2.0
CA,"2317 Chestnut St., San Francisco 94123",Mexican,Mexican,Mamacita,$$,4.2,"An eclectic mix of young families, stylish hipsters, and see-and-be-seen Marinaites may pack its tables, but this hot ticket has more to offer than looks alone. The talented kitchen's creative takes on Mexican flavors are always on-point, from shrimp ""al pastor"" tacos with a sweet-spicy apple-mango salsa, to molotes, masa fritters oozing a delectable mixture of smoky ground beef and Monterey Jack cheese; as well as esquites, chile-inflected roasted corn with cotija and crema. Mamacita's food is deeply flavorful, varied, and made for sharing (but you'll want to make a reservation if you bring a big group, because just about everyone has the same idea). Stuck with a wait? Head to the front bar for a tasty mezcal cocktail or three to help ease the sting.",0.0,37.0,2.0
CA,"470 Pacific Ave., San Francisco 94133",Italian,Contemporary,Quince,$$$$,4.6,"Situated on a tree-lined street amid upscale galleries and design firms, Quince is elegant but never bogged down by formalities. Make your way through the champagne lounge to find this high-ceilinged, copper-hued room and its well-versed, passionate service team-clearly one of the best in the city. Solo diners may head to the bar, which is a warm gathering perch that also pours a lineup of standout drinks. Each fixed menu option promises fine-tuned, elevated, and inspired cooking that aims beyond Italy. Pastas are a wow-inducing highlight here. Each handcrafted tortellini is a picture of perfect symmetry, stuffed with delicate pork, coated with cheese fonduta, and topped with slivers of white Alba truffles. Unique meat courses culminate in the distinctive Cinta Senese (heritage pork from Siena) prepared two ways. The first is faggotini bundling pork and wild nettles; the second is a chestnut flower crispello stuffed with a confit of belly and braised shoulder mixed with Swiss chard. Desserts yield a very grand finale with dramatic presentations of Valrhona ""Perigord"" truffles filled with chocolate, citrus, and finished with a chestnut tuille and Satsuma orange.",2.0,112.5,4.0
CA,"3621 18th St., San Francisco 94110",Italian,Italian,Delfina,$$,4.3,"One of the city's greats for rustic Italian meals, Delfina is nestled on a block of gems for food lovers including Bi-Rite (and its creamery), Tartine Bakery, and sister spot Pizzeria Delfina. But even with this rarefied competition, Delfina books up well in advance and draws lines for its few walk-in seats. The simple, yet lively dining room is attended to by a warm staff, and the bill of fare shifts with the seasons. Soul-satisfying dishes include house-made fazzoletti with garlicky basil pesto, tender potatoes, and crisp green beans, as well as a perfectly roasted half-chicken in a richly caramelized jus. For dessert, one spoonful of the creamy, delicate fig-leaf panna cotta, accented by macerated pluots, will have you floating home on a cloud.",0.0,37.0,2.0
CA,"3071 16th St., San Francisco 94103",Mexican,Mexican,Pancho Villa Taqueria,$,4.2,"Around the corner from the 16th and Mission BART stop, this long-running taqueria earns high marks from locals. Upon entering, take a moment to step back and examine the menu board; the vested attendants working the flat-tops and grills will be quizzing you on the beans, condiments, and choice of ten meats you desire. That line moves quickly, so be ready. After loading up your burrito, perhaps filled with thinly sliced steak and butterflied prawns, select an agua fresca from the glass barrels, and hit the salsa bar. It features award-winning varieties in every range of heat and sweet to complement their thin, ultra-crispy tortilla chips. Ambience is nil and tables can be hard to snag, but the reward is a fresh and flavorful taste of the Mission.",0.0,18.5,1.0
CA,"842 Valencia St., San Francisco 94110",Contemporary,American,Range,$$$,4.4,"Owner Phil West has returned to cooking at this Mission standby, whose menu has veered away from contemporary flourishes and back into straightforward American comfort. The results are sturdy and satisfying: tender roast chicken practically melts into a lovely asparagus, walnut, and kumquat bread salad, while a luscious chocolate peanut butter mousse cake gets an added boost from rich salted caramel ice cream. The drinks at Range continue to be as notable as the eats, and diners who skip cocktail hour are missing out on smart concoctions like the rum-based Wolf Moon, which boasts spicy, nutty notes from chili liqueur and sherry. Loyal regulars continue to fill the small, contemporary dining room, whose low, wood-beamed ceilings make every meal cozy.",0.0,37.0,3.0
CA,"561 Valencia St., San Francisco 94110",Eastern European,European,Bar Tartine,$$$,4.2,"A little bit Eastern European, a little bit Californian, and a whole lot of delicious, this is a favorite among local gourmets. Now chef-owned and with an impending name change, the intensely satisfying menu continues to sate with everything from falafel-like sprouted lentil fritters with kefir and beet sauce, to roasted carrots with sumac yogurt and sunflower tahini. Wood-smoked, flash-fried potatoes, served with earthy black garlic aïoli and an herb salad, are unmissable. The hearty, homey vibe extends to the rustic dining room, with well-worn floors and simple wood furnishings, as well as the gracious staff, who makes diners feel right at home. Be sure to sample the tasting menu, which shows promise of great things to come, along with a house-made soda, tea, or creative cocktail.",0.0,37.0,3.0
CA,"2316 Polk St., San Francisco 94109",French,Bar,La Folie,$$$$,4.3,"Few grandes dames of high-end French cuisine remain in the city, but this long-running spot from Chef/owner Roland Passot has held strong. With two formal dining rooms featuring starched tablecloths, polished servers, and a tall art deco wine case, it's a favorite among occasion-celebrating couples and the luxury-loving tourist crowd. Diners can build their own three-to-five course prix-fixe, with old-school dishes like perfectly seared lamb rack with fava beans and green garlic, or delicate Dungeness crab bisque with English peas. Sumptuous supplements, from foie gras to lobster, are also offered, as is a chef's-choice tasting menu. For dessert, a clever baked Alaska blends bay leaf and rhubarb ice creams with vanilla chiffon.",0.0,112.5,4.0
CA,"800 North Point St., San Francisco 94109",Contemporary,French,Gary Danko,$$$$,4.5,"It is clear what all the fuss is about, right from the moment one enters this polished wood veneer sanctum of Chef Danko's revered dining room. Dressed-up occupants in the mood to celebrate are bathed in flattering light and surrounded by a rainforest's worth of orchids. Service is without reproach and displays an uncommon loyalty; diners here experience a level of hospitality usually reserved for luxury hotels. Customizable tastings allow guests to mix and match their own three- to five-course meals from a menu of classic cooking layered with global inspiration. Pan-seared quail salad features a crispy rosemary-scented potato cake, sautéed maitake mushrooms, and wild greens-an eye-catching composition united by a warm pomegranate-sweetened dressing. Intensely crisp soft-shell crabs are even easier to love when nestled in a bed of white polenta scattered with black sesame seeds, enhanced with pickled ginger and zesty lime to cut the richness. Banana tart with rum pastry cream, caramel sauce, and coconut sorbet is a fine choice for dessert, made even sweeter when paired with an after-dinner selection from the outstanding wine list boasting over 2,000 bottles from around the globe.",1.0,112.5,4.0
CA,"1015 Battery St., San Francisco 94111",Basque,Basque,Piperade,$$$,4.1,"Basque Chef Gerald Hirigoyen blends the region's French and Spanish roots at this popular restaurant and favorite for business lunches. His roasted lamb gets a touch of Middle Eastern flavor thanks to merguez sausage and a sweet-smoky cumin-date relish, served with tender and caramelized roasted fennel bulb. A solidly Gallic apple galette is deliciously none-too-sweet, combining puff pastry, finely shaved apple slices, and decadant caramel sauce. Located among historic warehouses in a commercial district, this charming dining room features wood floors, brick walls, and chandeliers made from empty wine bottles. Hold a confab at the eight-person round table, or enjoy a solo glass of wine on the covered front patio and while away a warm afternoon.",0.0,37.0,3.0
CA,"1 Ferry Building, San Francisco 94111",Vietnamese,Vietnamese,The Slanted Door,$$$,4.2,"Reservations are a challenge at this modern stunner with a killer view of the Bay Bridge, which has managed to stay atop tourists' hit lists even as its NorCal spin on Vietnamese food has steadily become more uninspired and corporate. It's an efficient, professional place, but with little warmth; the hospitality is hit-or-miss at best. Steer clear of the overpraised cellophane noodles with crab or overpriced shaking beef, and stick to more solid offerings like gau choy gow, pan-fried dumplings with Gulf shrimp and vibrant garlic chives accompanied by a zippy soy and fish-sauce dip. Half-orders are encouraged, so take advantage by sampling more than one of the delectable vegetable sides, like crisp, spicy broccoli with pressed tofu.",0.0,37.0,3.0
CA,"126 Clement St., San Francisco 94118",French,French,Chapeau!,$$$,4.5,"For an oh-so-French experience on Asian food-centric Clement, denizens head to Philippe Gardelle's authentic bistro, where tightly spaced tables and paintings of the titular hats create a convivial atmosphere. Packed with regulars receiving bisous from the chef, Chapeau! is warm and generous, a vibe that's aided by its strong Gallic wine list. Dishes are traditional with a bit of Californian flair, like fingerling potato chips in a friseé and duck confit salad or salted-caramel ice cream that tops the pain perdu. The cassoulet, wholesome with braised lamb, rich with smoky sausage, and earthy with white beans, is perfect for a foggy night in the Avenues. Come before 6:00 P.M. on weeknights for a $36.95 early bird prix-fixe, or create your own from their many set menus.",0.0,37.0,3.0
CA,"5800 Geary Blvd., San Francisco 94121",Moroccan,Moroccan,Aziza,$$$,4.4,"Nestled in a quiet corner of outer Richmond, along a street peppered with little ethnic grocery stores, Mourad Lahlou's lovely Aziza doesn't knock you over upon arrival. But duck inside its worn blue door, and you'll find a warm hostess at the ready; a charming and softly lit interior lined with cozy booths; as well as a Moroccan-style lounge in the back, featuring low-slung seating and couches. The result is exotic but accessible-a spot as perfectly appropriate for lively young families with kids in tow as it is for a sultry rendezvous with your steady. Chef/owner Mourad Lahlou loves to turn traditional Moroccan cooking on its head, (in fact, there's not a tagine in sight) infusing irresistible dishes with a palpable Californian sensibility. The outcome is quite incredible, with sweet and savory flavors tangling in perfect harmony. It's hard to go wrong on this menu and you'll surely want to try a little bit of everything. But whatever you do, don't miss the kitchen's elegantly plated trio of dips. These may include silky cucumber yogurt and dill, smoky eggplant and a nutty piquillo pepper-almond dip; or the perfectly seared lamb loin and belly paired with creamy, green garlic-infused barley, grilled summer squash, and a flutter of fresh, peppery arugula.",1.0,62.0,3.0
CA,"309 Clement St., San Francisco 94118",Burmese,Chinese,Burma Superstar,$$,4.4,"Like any celebrity, it's easy to recognize this unusual dark wood superstar from the eager crowds swarming like paparazzi. Everyone endures this no-reservations policy to Instagram their favorite Burmese dishes. See the iPhones poised over the famed rainbow and tea-leaf salads or samusa soup (also available as a lunchtime combo). Regulars stick to traditional items, marked by asterisks on the menu. Palate-tingling options include rice noodles with pickled daikon and tofu in a spicy tomato-garlic sauce, or pork and kabocha squash stewed in a gingery broth with coconut sticky rice. A creamy Thai iced tea is the perfect counterbalance to the spicy, boldly flavored fare. Hipper digs, a cooler crowd, but renovated favorites can be found at sib-Burma Love.",0.0,37.0,2.0
CA,"1600 Folsom St., San Francisco 94103",Thai,Thai,Manora's Thai Cuisine,$,4.4,"A firmly rooted dining destination in this otherwise underdeveloped part of town, Manora's has been a source for authentic Thai dishes since the '80s. Crowds flock here for the affordable lunch specials, which include gems like pad Thai topped with plump shrimp and a golden fried egg, fragrant lemon chicken soup, and moist, perfectly charred satay skewers surrounded by fresh vegetables. The pace at dinner is more relaxed, with endearing service that makes customers truly feel at home amid the wood carvings of the dining room. The fresh, zingy flavors of dishes like spicy green papaya salad draw diners through the well-aged wooden door again and again. Meals are all the better when cooled off with a creamy cold coffee or sweet Thai iced tea.",0.0,18.5,1.0
CA,"365 Gellert Blvd., Daly City 94015",Chinese,Chinese,Koi Palace,$$,4.0,"Long regarded as one of the Bay Area's best spots for dim sum, Koi Palace continues to earn its serious waits (guaranteed on weekends, and common at weekday lunch). The dining room is a step up from its competition, with shallow koi ponds weaving between tables, high ceilings, and huge tables to accommodate the Chinese-American families celebrating big occasions. They come to share plates of perfectly lacquered, smoky-salty roasted suckling pig or sticky rice noodle rolls encasing plump shrimp, sesame oil, and minced ginger. Not far behind, find lotus leaves stuffed with glutinous rice, dried scallop, and roast pork, as well as big pots of jasmine tea. Save room for desserts like the fluffy almond cream steamed buns and flaky, caramelized custard tarts.",0.0,37.0,2.0
CA,"1539 Solano Ave., Berkeley 94707",Californian,Italian,Rivoli,$$$,4.4,"Northern Californian cooking with a trace of Italian flavor is the main draw at this lush charmer on the Albany-Berkeley border, serving up delectable and seasonal dishes. Rivoli is always popular and a winner among its patrons, who come here to savor undeniably excellent items like a crisp endive salad tossing peppery arugula, sweet plums, and blue cheese. Tender braised lamb-stuffed ravioli topped with tomato sauce, spiced chickpeas, and garlic-mint yogurt is another jewel. Set in an adorable cottage, the dining room also features enormous picture windows overlooking a lush ""secret"" garden blooming with tender fronds and climbing ivy. The greenery is a stunning contrast to the crisp, white-linen tables, smartly serviced by an engaging waitstaff.",0.0,37.0,3.0
CA,"405 1st St. W., Sonoma 95476",Californian,Californian,El Dorado Kitchen,$$$,4.4,"Bigger than the hotel of the same name that houses it, El Dorado Kitchen proves that dining is a big deal in Sonoma. With its long wood communal table, decorative succulents, and palette of warm earth tones, it's a comfy and minimalist space. When the weather is right, grab one of the outdoor tables, nestled poolside beneath fig trees. The Cal-French menu gets some pop from Latin accents, like a fresh and flavorful pizza topped with carne seca (Brazilian salted dried beef), tomato salsa, cilantro, and jalapeños. A selection of charcuterie, from tart wine-cured salami to spicy chorizo, is made in house, as is the excellent country bread. Finally, it would be a sin to miss the rich and flaky fried fig pie, accented by tangy balsamic ice cream, for dessert.",0.0,37.0,3.0
CA,"344 Center St., Healdsburg 95448",Californian,Californian,Valette,$$$$,4.6,"Housed in the former Zin space, this contemporary darling is actually a full-circle comeback for Chef Dustin Valette and his brother/General Manager Aaron Garzini, whose grandfather owned the building in the 1940s. Its current look, however, is as cutting-edge as ever thanks to dandelion-like light fixtures, industrial concrete walls, and horseshoe-shaped banquettes. The bill of fare is modern American with a few French twists. Scallops arrive beneath squid ink puff pastry, into which a server pours caviar-flecked champagne-beurre blanc. Then, tart and salty pickled cauliflower is taken to the next level with a gentle deep-fry. For a happy ending, dig into the smooth, creamy block of chocolate mousse with a luscious salted caramel center.",0.0,62.0,4.0
CA,"6480 Washington St., Yountville 94599",Contemporary,Contemporary,Redd,$$$$,4.4,"In this quaint hamlet, Redd stands out both for its modern look and contemporary approach to cuisine, with flavors from around the globe. A meal here might begin with Chinese-style lettuce cups filled with succulent chicken, stir-fried eggplant, and fresh herbs; then veer into India and Spain simultaneously via a Petrale sole fillet with coconut-jasmine rice, curry-saffron broth, and salty-spicy chorizo. And any Londoner would be proud of the buttery sticky toffee pudding, with tart crème fraîche ice cream and huckleberries. The sleek, modernist décor attracts a sedate crowd, attended to by professional servers. On nice days, be sure not to miss the serene outdoor patio, which begs to be savored with a glass of Joseph George sauvignon blanc from Yountville.",0.0,112.5,4.0
CA,"7399 St. Helena Hwy., Yountville 94558",American,Bar,Mustards Grill,$$$,4.4,"At Cindy Pawlcyn's iconic roadhouse, it's a joy to eat your greens. Lettuces are freshly plucked from the restaurant's bountiful garden boxes and tossed with tasty dressings including a shallot- and Dijon mustard-spiked Banyuls vinaigrette. Fish of the day may unveil grilled halibut sauced with oxtail reduction and plated with silken leeks, fingerling potatoes, and baby carrots. But, save room as this is not the place to skip dessert, and the lemon-lime tart capped with brown sugar meringue that is fittingly described on the menu as ""ridiculously tall,"" doesn't disappoint. It should come as no surprise that there's usually a wait for a table here. But no matter; use the time to take a stroll on the grounds for a preview of what the kitchen has in store.",0.0,37.0,3.0
CA,"6640 Washington St., Yountville 94599",Contemporary,French,The French Laundry,$$$$,4.4,"After more than 20 years of gracing every foodie's bucket list from here to Hong Kong, Thomas Keller's legendary Napa Valley destination still doesn't miss a beat-irrespective of being in the midst of change. And, what's not to love? Chef Keller pairs incredibly technical cooking with wildly fresh and seasonal ingredients in a dreamy wine country setting. It's a perfect storm of restaurant greatness-and we should all be so lucky to score a reservation here in our lifetime. Located in scenic Yountville, along a shady, bucolic, and winding road, the restaurant is the picture of countryside charm, with creeping ivy arching up its quaint stone exterior and a homey dining room set with elegant dishware. There are two seasonal, nine-course tasting menus to choose from, including a vegetarian option. Dinner might kick off with the restaurant's signature oysters, paired with gleaming white sturgeon caviar pooled in a warm sabayon studded with tapioca pearls; before moving on to golden striped bass with deconstructed deviled eggs. Other treasures include unctuous pork belly set over creamy, spiced Rancho Gordo beans; or tender veal, paired with tomato-infused béarnaise sauce and a spectacular summer corn salad bursting with cherry tomato, chanterelle mushrooms, and a basil-scented cake.",3.0,112.5,4.0
