name,rev,price,desc
"Mintwood Place
WebsiteDirections","4.3
61 Google reviews",$$ · American Restaurant,"Modern farmhouse style & a French-influenced American menu, plus wood-burning oven & sidewalk seats."
"Central Michel Richard
WebsiteDirections","4.1
142 Google reviews",$$$ · French Restaurant,"Convivial bistro offering riffs on tradition, from New American (fried chicken) to French (pâté)."
"SEI
WebsiteDirections","4.4
78 Google reviews",$$$ · Sushi Restaurant,"Sushi, modern Asian small plates, specialty cocktails & sake featured in a sleek, white environment."
"Donburi
WebsiteDirections","4.6
87 Google reviews",$ · Japanese Restaurant,"Japanese restaurant providing rice bowl dishes in a compact, minimalist space with counter seating."
None,None,None,None
"The Oval Room
WebsiteDirections","3.7
41 Google reviews",$$$ · New American Restaurant,"Refined restaurant serving up inventive, upscale New American meals close to the White House."
"BlackSalt
WebsiteDirections","4.3
88 Google reviews",$$$ · Seafood Restaurant,Creative preparations of sustainable seafood served in an upscale tavern with take-out fish market.
"Duke's Grocery
WebsiteDirections","4.4
118 Google reviews",$ · British Restaurant,"Comfy, East London-inspired hangout offering farm-fresh cuisine & craft cocktails on 2 levels."
"Izakaya Seki
WebsiteDirections","4.5
50 Google reviews",$$ · Japanese Restaurant,"Trendy option for Japanese small plates & noodle dishes, plus sizable beer list in minimalist digs."
"SUNdeVICH
WebsiteDirections","4.5
97 Google reviews",$ · Sandwich Shop,Converted garage houses a counter-serve shop for creative sandwiches made from local ingredients.
"Oceanaire Seafood Room (DC)
WebsiteDirections","3.8
78 Google reviews",$$$ · Seafood Restaurant,"High-end chain offering seafood, steaks & a deep wine list in sophisticated but lively environs."
"SUNdeVICH
WebsiteDirections","4.5
97 Google reviews",$ · Sandwich Shop,Converted garage houses a counter-serve shop for creative sandwiches made from local ingredients.
"Casa Luca
WebsiteDirections","4.1
49 Google reviews",$$ · Italian Restaurant,"Stylish, airy Italian eatery with big windows, warm woods, red leather banquettes & wines on tap."
"Acqua Al 2
WebsiteDirections","4.1
71 Google reviews",$$$ · Italian Restaurant,"Started in Florence, this brick-walled restaurant serves Italian classics in a cozy, rustic setting."
"Daikaya - Ramen (1F), Izakaya (2F)
WebsiteDirections","4.4
354 Google reviews",$$ · Japanese Restaurant,"Japanese noodle soups ladled out in casual, funky digs with yellow & blue walls & rustic tables."
"Al Tiramisu
WebsiteDirections","3.9
36 Google reviews",$$$ · Italian Restaurant,Small Italian eatery below street level offers homemade pastas & refined seafood & daily specials.
None,None,None,None
"Little Serow
WebsiteDirections","4.5
58 Google reviews",$$$ · Thai Restaurant,"Intimate & dark, this cavelike spot serves an innovative set menu of Northern-Thailand specialties."
"Komi
WebsiteDirections","4.5
120 Google reviews",$$$$ · Greek Restaurant,American-Mediterranean restaurant serving a fixed-price parade of dishes in an understated setting.
"Sushi Taro Japanese Restaurant
WebsiteDirections","3.8
141 Google reviews",$$$ · Japanese Restaurant,"High-end sushi spot with chef's choice dinners, bento-box lunch specials, sake & sho-chu."
"Fiola Mare
WebsiteDirections","4.5
93 Google reviews",$$$ · Seafood Restaurant,"Sophisticated Italian seafood, plus wine & cocktails, in a luxe, modern setting with river views."
"Blue Duck Tavern
WebsiteDirections","4.4
169 Google reviews",$$$ · American Restaurant,New American preparations of locally sourced ingredients served amid handcrafted furnishings.
"Beau Thai Mount Pleasant
WebsiteDirections","4.3
56 Google reviews",$ · Thai Restaurant,"Traditional Thai dishes, specialty drinks & vegan/gluten-free options in an industrial eatery & bar."
None,None,None,None
"Bonchon
WebsiteDirections","4.2
92 Google reviews",$ · Chicken Wings Restaurant,"Casual chain serving cooked-to-order Korean fried chicken, plus other traditional eats."
"Granville Moore's
WebsiteDirections","4.3
113 Google reviews",$$ · Bar,Gourmet bar food like mussels & a diverse beer list served in a pocket-sized space.
"Joe's Seafood, Prime Steak & Stone Crab
WebsiteDirections","4.6
131 Google reviews",$$$ · Seafood Restaurant,American surf 'n' turf restaurant serving upmarket fare & cocktails in a lavish 2-story space.
"Palm Restaurant‎ - DC
WebsiteDirections","3.9
68 Google reviews",$$$ · Steak House,"Storied chain serving high-end steakhouse fare, seafood & diverse wines in clubby surrounds."
"Pearl Dive Oyster Palace
WebsiteDirections","4.3
86 Google reviews",$$ · Brunch Restaurant,Popular spot for seafood dishes with boardwalk decor & a lively upstairs bar & bocce court.
"Restaurant Nora
WebsiteDirections","4.0
309 Google reviews",$$$ · Organic Restaurant,"Fresh, local ingredients come together in New American dishes at this sophisticated outpost."
"Montmartre
WebsiteDirections","4.0
61 Google reviews",$$$ · French Restaurant,"Small, airy Parisian-inspired bistro serving a menu of classic French dishes inside & on a patio."
None,None,None,None
"BLT Steak
WebsiteDirections","4.3
75 Google reviews",$$$ · Bar,Modern American steakhouse known for its signature warm popovers & hearty meat-centric dishes.
"1789 Restaurant
WebsiteDirections","4.4
77 Google reviews",$$$ · American Restaurant,"A luxe, renovated Federal house sets the scene for refined seasonal American fare."
"Vidalia
WebsiteDirections","3.9
79 Google reviews",$$$ · American Restaurant,New American fine-dining establishment offers a Southern-inspired menu of refined comfort fare.
"G by Mike Isabella
WebsiteDirections","4.4
25 Google reviews",$$ · Italian Restaurant,"Rustic-mod spot serving sandwiches by day & homey, fixed-price Italian menus by night."
"Equinox
WebsiteDirections","4.0
57 Google reviews",$$$ · Fine Dining Restaurant,"Upscale New American kitchen featuring locally sourced, seasonal dishes in modern surrounds."
"Osteria Morini
WebsiteDirections","4.1
62 Google reviews",$$ · Italian Restaurant,Chef Michael White's Northern Italian eatery offers upscale fare & river views in a loft-like space.
"Beau Thai - Shaw
WebsiteDirections","4.2
84 Google reviews",$ · Thai Restaurant,"Casual Thai kitchen & bar lures locals with traditional dishes, specialty cocktails & vegan options."
"Amsterdam Falafel Shop
WebsiteDirections","4.5
245 Google reviews",$ · Falafel Restaurant,Falafel on pita bread plus Middle Eastern salads & Belgian fries at a late-night quick-serve eatery.
"Kotobuki
WebsiteDirections","4.3
52 Google reviews",$$ · Japanese Restaurant,"Located on the 2nd floor, this cozy spot offers Japanese eats & take-out options."
"Amsterdam Falafel Shop
WebsiteDirections","4.5
245 Google reviews",$ · Falafel Restaurant,Falafel on pita bread plus Middle Eastern salads & Belgian fries at a late-night quick-serve eatery.
"701 Restaurant
WebsiteDirections","3.6
38 Google reviews",$$$ · American Restaurant,"New American cuisine & cocktails in a sophisticated, candlelit setting with live jazz on weekends."
"El Chucho - Cocina Superior
WebsiteDirections","4.3
97 Google reviews",$ · Mexican Restaurant,Creative takes on taqueria fare & margaritas on tap make this tri-level venue a popular stop.
"Bibiana
WebsiteDirections","3.5
42 Google reviews",$$$ · Italian Restaurant,"Modern, airy space featuring Italian fare, an extensive wine list, cocktails & patio dining."
"Obelisk
WebsiteDirections","4.5
28 Google reviews",$$$$ · Italian Restaurant,Set menus of simple Italian cooking & wine are presented in an informal townhouse setting.
"Filomena Ristorante
WebsiteDirections","4.1
376 Google reviews",$$ · Italian Restaurant,Pasta made in-house plus hearty Italian classics in an upscale restaurant with over-the-top decor.
"The Capital Grille
WebsiteDirections","4.4
157 Google reviews",$$$ · Fine Dining Restaurant,"Outpost of the upscale steakhouse chain offers classic American fare & a clubby, refined setting."
"Cava Mezze
WebsiteDirections","4.2
100 Google reviews",$$ · Greek Restaurant,"Greek meze/tapas restaurant with a global wine list & chic, wood-&-brick decor."
"Bistro Bis
WebsiteDirections","4.3
61 Google reviews",$$$ · French Restaurant,The Capitol crowd frequents this upscale bistro for its classic French fare & cherry-wood decor.
"Ris
WebsiteDirections","3.8
38 Google reviews",$$$ · American Restaurant,"High-end bistro serving seasonal upscale New American fare in a modern, sophisticated space."
"2 Amys
WebsiteDirections","4.2
263 Google reviews",$$ · Pizza Restaurant,Bustling wood-oven pizzeria serves innovative Neapolitan-style pies & Italian wine by the glass.
"7th Hill Pizza - Palisades
WebsiteDirections","4.3
20 Google reviews",$$ · Pizza Restaurant,"Artisanal toppings crown wood-fired pizzas, served alongside diverse beers in a bright, airy space."
"Co Co. Sala
WebsiteDirections","4.1
139 Google reviews",$$ · Eclectic Restaurant,Eclectic lounge offers a multitude of sweet takes on the cocoa bean plus a variety of savory dishes.
"Le Diplomate
WebsiteDirections","4.5
244 Google reviews",$$ · French Restaurant,"Bustling brasserie serves classic French fare & drinks amid a zinc bar, tile floors & sidewalk cafe."
"Toki Underground
WebsiteDirections","4.4
208 Google reviews",$$ · Asian Restaurant,"Popular but snug Asian-fusion eatery known for ramen noodle soups, dumplings, sake & cocktails."
"Table
WebsiteDirections","4.6
39 Google reviews",$$$ · European Restaurant,"Farm-to-fork eatery with a dynamic menu of modern European fare, plus a roof deck & sidewalk seats."
"Amsterdam Falafel Shop
WebsiteDirections","4.5
245 Google reviews",$ · Falafel Restaurant,Falafel on pita bread plus Middle Eastern salads & Belgian fries at a late-night quick-serve eatery.
"Bayou Bakery, Coffee Bar & Eatery
WebsiteDirections","4.1
38 Google reviews",$$ · Bakery,Counter-service bakery & cafe with a New Orleans bent set in a rustic Lincoln-era carriage house.
"Brasserie Beck
WebsiteDirections","4.1
192 Google reviews",$$$ · Belgian Restaurant,Hip bar & restaurant featuring classics of Belgian cuisine & beer list with more than 100 varieties.
"Bistrot Lepic & Wine Bar
WebsiteDirections","4.4
34 Google reviews",$$$ · French Restaurant,"Rustic spot features traditional French fare downstairs, plus a wine bar upstairs."
"BOURBON STEAK
WebsiteDirections","4.2
68 Google reviews",$$$ · Steak House,Stylish & modern steakhouse in the Four Seasons with seasonal American fare & butter-poached meat.
"Estadio
WebsiteDirections","4.2
100 Google reviews",$$ · Spanish Restaurant,"Small, festive spot serving Spanish tapas & playful plates & cocktails in Moorish-styled digs."
"Sakedokoro Makoto
WebsiteDirections","4.7
35 Google reviews",$$$ · Japanese Restaurant,"Upscale, authentic-style Japanese kitchen offering multicourse menus in chic, minimalist surrounds."
"Legal Sea Foods
WebsiteDirections","4.3
121 Google reviews",$$ · Seafood Restaurant,"Specializing in upmarket seafood, this contemporary chain also serves steaks & cocktails."
None,None,None,None
"Proof
WebsiteDirections","4.1
89 Google reviews",$$$ · American Restaurant,Chic destination for creative New American small plates & meals backed by an extensive wine list.
"Mellow Mushroom
WebsiteDirections","4.2
87 Google reviews",$$ · Pizza Restaurant,"Funky, art-filled chain pizzeria featuring craft beer, calzones & creative stone-baked pizzas."
None,None,None,None
None,None,None,None
"Thunder Burger & Bar
WebsiteDirections","4.2
119 Google reviews",$$ · Hamburger Restaurant,Rock-themed burger spot offering a variety of draft beers & customizable burgers in a glam setting.
"Cafe Bonaparte
WebsiteDirections","4.1
68 Google reviews",$$ · Cafe,"Cozy French cafe with sidewalk seating serving crêpes, bistro fare, coffee, wine & more."
"Indique
WebsiteDirections","4.3
90 Google reviews",$$ · Indian Restaurant,Indian street food with a twist in a moody bi-level setup with cushions to sit on while eating.
"Kapnos
WebsiteDirections","4.3
75 Google reviews",$$ · Greek Restaurant,Modern Greek restaurant features open rotisserie grills & spiked lemonades plus shareable plates.
"Compass Rose
WebsiteDirections","4.4
53 Google reviews",$$ · Mediterranean Restaurant,International flavors infuse the eclectic cuisine at this townhouse eatery with brick walls.
"Rural Society
WebsiteDirections","3.9
51 Google reviews",$$ · Argentinian Restaurant,"A luxe ambiance of dark wood & leather is the setting for Argentinean cuisine, wine & cocktails."
"The Partisan
WebsiteDirections","4.4
71 Google reviews",$$ · American Restaurant,"Hip bar & restaurant serving charcuterie, meat-centric American chow & drinks in brick-walled digs."
None,None,None,None
None,None,None,None
None,None,None,None
"Campono
WebsiteDirections","4.6
18 Google reviews",$ · Sandwich Shop,"Italian eatery featuring wood-fired pizzas, subs & housemade gelati in a casual yet modern space."
"Bistro Cacao
WebsiteDirections","4.5
61 Google reviews",$$$ · French Restaurant,Antique decor & curtained booths plus French bistro fare make this townhouse a romantic destination.
None,None,None,None
None,None,None,None
"Doi Moi
WebsiteDirections","4.3
60 Google reviews",$$ · Southeast Asian Restaurant,"Hip, sleek kitchen furnishing house cocktails & Southeast Asian street fare, including a vegan menu."
None,None,None,None
"Beuchert’s Saloon
WebsiteDirections","4.4
30 Google reviews",$$$ · American Restaurant,Buffalo heads overlook a marble-&-wood bar at this upmarket find for farm-to-table American fare.
"Belga Café
WebsiteDirections","3.9
139 Google reviews",$$ · Belgian Restaurant,Authentic fare like mussels with fries & a long list of Belgian ales plus a popular Sunday brunch
"Siroc Restaurant
WebsiteDirections","4.3
48 Google reviews",$$$ · Italian Restaurant,"High-end Italian dining in a polished, smart-casual setting with an outdoor cafe."
"Eat the Rich
WebsiteDirections","4.2
29 Google reviews",$ · Oyster Bar Restaurant,"Sharp seafood eatery serving oysters, stylish cocktails by the pitcher & more in brick-walled digs."
"Leopold's Kafe & Konditorei
WebsiteDirections","4.1
150 Google reviews",$$ · Cafe,"Serving European fare, like schnitzel & strudel, this spot has a back alley patio & sleek interior."
"Hank's Oyster Bar
WebsiteDirections","4.2
173 Google reviews",$$ · Oyster Bar Restaurant,"New England-style seafood outpost with clams, lobster rolls, a raw bar & daily specials."
"Le Grenier
WebsiteDirections","4.5
38 Google reviews",$$ · French Restaurant,"Bi-level bistro serving French staples & specialty cocktails amid romantic, exposed-brick quarters."
"Taqueria Nacional
WebsiteDirections","3.9
56 Google reviews",$ · Mexican Restaurant,Quick-serve tacos & other casual eats at a Mexican restaurant/bar with a patio & rustic decor.
None,None,None,None
"Wiseguy NY Pizza
WebsiteDirections","4.4
127 Google reviews",$ · Pizza Restaurant,"Airy New York-inspired pizzeria featuring classic thin-crust pies, plus Junior's cheesecake."
"Lupo Verde
WebsiteDirections","4.5
66 Google reviews",$$ · Italian Restaurant,"Rustic backdrop for Southern Italian dishes & specialty cocktails, plus a market for meat & cheese."
"Lincoln
WebsiteDirections","3.8
120 Google reviews",$$ · American Restaurant,"Bustling, trendy New American spot inspired by Lincoln with a floor of pennies & big white chair."
"Ghibellina
WebsiteDirections","4.5
70 Google reviews",$$ · Italian Restaurant,"Earthy Tuscan fare, cocktails & wine in vast rustic-industrial space with marble bar & open kitchen."
"Hank's Oyster Bar
WebsiteDirections","4.2
173 Google reviews",$$ · Oyster Bar Restaurant,"New England-style seafood outpost with clams, lobster rolls, a raw bar & daily specials."
"Dukem Ethiopian Restaurant
WebsiteDirections","3.8
148 Google reviews",$$ · Ethiopian Restaurant,Spicy stews are eaten with spongy injera bread at a small Ethiopian spot with occasional live music.
"Toro Toro
WebsiteDirections","3.8
88 Google reviews",$$$ · Pan-Latin Restaurant,Modern Pan-Latin choice serving skewers of grilled meats plus small plates & barrel-aged cocktails.
"Founding Farmers
WebsiteDirections","4.3
1,058 Google reviews",$$ · American Restaurant,Co-op-owned American eatery dishing out market-driven comfort cuisine along with rustic-chic style.
"Kaz Sushi Bistro
WebsiteDirections","4.3
130 Google reviews",$$$ · Sushi Restaurant,"Sushi spot with familiar & specialty Japanese menu options, including chef's tasting menus."
None,None,None,None
"Piola
WebsiteDirections","4.1
37 Google reviews",$ · Pizza Delivery,"Italy-based pizzeria chain serving brick-oven pies, pasta & cocktails in hip, informal surroundings."
"Mitsitam Native Foods Café
WebsiteDirections","3.6
66 Google reviews",$$ · Cafe,"Cafe serving seasonal, gourmet Native American fare in the National Museum of the American Indian."
"Oyamel Cocina Mexicana
WebsiteDirections","3.9
416 Google reviews",$$ · Mexican Restaurant,"Lively, upscale spot with creative Mexican tapas & street food, plus a lengthy cocktail & wine menu."
"Jaleo
WebsiteDirections","3.9
384 Google reviews",$$ · Spanish Restaurant,"Buzzy Spanish spot from chef José Andrés serving tapas, paella & sangria in a striking, artsy space."
"Sakuramen Ramen Bar
WebsiteDirections","4.5
149 Google reviews",$$ · Ramen Restaurant,Noodle lovers can customize their soup bowls at this basement-level spot with a communal table.
"Iron Gate Restaurant
WebsiteDirections","4.3
51 Google reviews",$$ · Mediterranean Restaurant,"Swanky spot offering Italian & Greek small plates, a tasting menu & more in courtyard-enhanced digs."
"Cork Wine Bar
WebsiteDirections","4.1
60 Google reviews",$$ · American Restaurant,"Wine bar serving New American small plates in a bustling, brick-walled setting."
"The Source
WebsiteDirections","4.0
87 Google reviews",$$$ · Asian Restaurant,"Celebrity chef's modern Asian restaurant with creative, updated fare & cocktails in stylish digs."
"La Chaumiere
WebsiteDirections","4.3
34 Google reviews",$$$ · French Restaurant,Area staple has traditional French fare & a rustic feel with a stone fireplace & country-inn decor.
"Et Voila!
WebsiteDirections","4.0
32 Google reviews",$$ · Belgian Restaurant,"Long, narrow bistro offers hearty French-Belgian dishes & an extensive list of Belgian beers."
"Del Campo
WebsiteDirections","4.2
43 Google reviews",$$$ · Latin American Restaurant,Elegant space for Latin specialties from slow-roasted meats to classic sandwiches & regional drinks.
"Boqueria Washington DC
WebsiteDirections","4.0
97 Google reviews",$$ · Spanish Restaurant,"Marc Vidal's light, wood-paneled Spanish tapas destination, with lots of wines for pairing."
"Flight Wine Bar
WebsiteDirections","4.6
33 Google reviews",$$$ · Italian Restaurant,"Lounge serving wine, wine-based cocktails & small bites in a mod, curvilinear setting."
None,None,None,None
None,None,None,None
"Oohh's & Aahh's
WebsiteDirections","3.7
172 Google reviews",$$ · Soul Food Restaurant,Hearty down-home soul food such as fried chicken & collard greens presented in a no-frills setting.
"Acadiana
WebsiteDirections","4.2
171 Google reviews",$$$ · Contemporary Louisiana Restaurant,Sprawling & elegant eatery serving Cajun-Creole specialties plus fixed-price jazz brunch on Sunday.
None,None,None,None
"Good Stuff Eatery
WebsiteDirections","4.1
311 Google reviews",$$ · Hamburger Restaurant,"Casual, multilevel upscale-industrial spot serving gourmet burgers, fries, shakes & salads."
"Good Stuff Eatery
WebsiteDirections","4.1
311 Google reviews",$$ · Hamburger Restaurant,"Casual, multilevel upscale-industrial spot serving gourmet burgers, fries, shakes & salads."
"I Ricchi
WebsiteDirections","3.3
69 Google reviews",$$$ · Italian Restaurant,"Eatery serves classic Tuscan fare & an all-Italian wine list in upscale, white-tablecloth surrounds."
None,None,None,None
None,None,None,None
"Cafe Divan
WebsiteDirections","3.8
77 Google reviews",$$ · Turkish Restaurant,Refined Turkish cuisine & wine served in a modern space at the tip of a flatiron building.
"Charlie Palmer Steak
WebsiteDirections","4.2
78 Google reviews",$$$ · American Restaurant,Sleek & sophisticated high-end steakhouse with views of the Capitol & a selection of American wines.
"Burger Tap & Shake Foggy Bottom
WebsiteDirections","4.3
211 Google reviews",$ · Hamburger Restaurant,Spiffy counter-serve restaurant turning out elevated takes on burgers plus spiked milkshakes.
"Smoke & Barrel
WebsiteDirections","4.1
122 Google reviews",$$ · Barbecue Restaurant,Barbecue chow with vegan options & a rotating beer list with rare brews in a dramatic space.
"Il Canale
WebsiteDirections","4.3
141 Google reviews",$$ · Italian Restaurant,Thin-crust pizza from a wood-fired oven plus pasta & antipasti in a cozy exposed-brick dining room.
"Surfside
WebsiteDirections","3.8
66 Google reviews",$ · Mexican Restaurant,"Tacos, margaritas & more are served cafeteria-style in a narrow room or on the roof deck."
"Sea Catch Restaurant
WebsiteDirections","3.7
55 Google reviews",$$ · Seafood Restaurant,"Seafood restaurant known for its oyster happy hour, raw bar & setting overlooking the C&O canal."
None,None,None,None
None,None,None,None
"TaKorean | The Yards DC
WebsiteDirections","4.5
61 Google reviews",$ · Korean Barbecue Restaurant,Industrial-modern food-truck offshoot specializing in Korean BBQ tacos & bowls with Mexican accents.
"Al Dente Italian Restaurant D.C.
WebsiteDirections","4.0
11 Google reviews",$$$ · Italian Restaurant,"Modern Italian fare, plus pizza, pasta plates & brunch, presented in a breezy, contemporary setting."
"Georgia Brown's Restaurant
WebsiteDirections","3.9
225 Google reviews",$$ · American Restaurant,Elegant eatery pairing upscale twists on classics from the southern coast with occasional live jazz.
"Big Bear Cafe
WebsiteDirections","4.0
126 Google reviews",$$ · Coffee Shop,"New American restaurant with a casual interior & patio serving breakfast, lunch & candlelit dinners."
"Banana Cafe & Piano Bar
WebsiteDirections","3.7
118 Google reviews",$$ · Cuban Restaurant,"Festive restaurant offering hearty Puerto Rican & Cuban fare, plus an upstairs piano bar."
"Rakuya
WebsiteDirections","3.7
77 Google reviews",$$ · Japanese Restaurant,"Japanese, Chinese & Thai food is served in a bustling spot with hanging colorful paper umbrellas."
"Mari Vanna DC
WebsiteDirections","4.1
78 Google reviews",$$$ · Russian Restaurant,Classic Russian plates & infused vodkas served in a quaint interior with a country house feel.
"Lebanese Taverna - DC
WebsiteDirections","4.2
116 Google reviews",$$ · Lebanese Restaurant,Local chain serving a menu of traditional Lebanese dishes & wine in a contemporary setting.
"Ardeo + Bardeo
WebsiteDirections","4.2
39 Google reviews",$$ · New American Restaurant,Sleek bistro serving New American fare & handcrafted cocktails for dinner & weekend brunch.
"Pi Pizzeria - DC
WebsiteDirections","4.3
247 Google reviews",$$ · Pizza Restaurant,"Hip pizzeria serving a menu of creative deep-dish & thin-crust pies, plus craft beers & cocktails."
"Etto
WebsiteDirections","4.2
35 Google reviews",$$ · Italian Restaurant,Rustic-chic Italian eatery serves wood-fired pizza & pours wines made at the owner's winery.
"RANGE
WebsiteDirections","3.7
37 Google reviews",$$$ · American Restaurant,Airy eatery & bar featuring open kitchens & a sizable New American menu in contemporary surrounds.
"Bar Pilar
WebsiteDirections","4.0
87 Google reviews",$$ · Gastropub,2-story gastropub with modern American fare served in large & small formats in an art-laden setting.
"Luke's Lobster Penn Quarter
WebsiteDirections","4.3
154 Google reviews",$$ · Seafood Restaurant,"Seafood counter serving Maine-style lobster rolls with toasted buns, plus clam chowder & microbrews."
"Taberna del Alabardero
WebsiteDirections","3.9
76 Google reviews",$$$ · Spanish Restaurant,Refined Spanish cuisine & extensive wine list served in an opulent space with an outdoor patio.
"The Carolina Kitchen
WebsiteDirections","3.7
90 Google reviews",$ · Southern Restaurant (US),Southern outfit serving hearty fare & fancy drinks in a contemporary space with a glass oyster bar.
None,None,None,None
"Red Apron Butchery - Union Market
WebsiteDirections","4.3
12 Google reviews",$ · Butcher Shop,Counter-serve hub in Union Market practicing whole-animal butchery to make charcuterie & sandwiches.
"Bobby Van's Grill
WebsiteDirections","3.5
71 Google reviews",$$ · Traditional American Restaurant,Meat-centric meals plus seafood & traditional sides served in a classic dark-wood dining room.
"Woodward Table
WebsiteDirections","4.2
81 Google reviews",$$ · American Restaurant,"Upmarket American kitchen, plus attached casual option offering breakfast, lunch & takeout."
"Cedar Restaurant
WebsiteDirections","4.1
61 Google reviews",$$$ · American Restaurant,"Urbane, wilderness-inspired restaurant offering contemporary takes on American cuisine."
"STK Washington DC
WebsiteDirections","3.8
51 Google reviews",$$$ · Steak House,"This buzzing steakhouse & lounge with an elevated menu features DJs & modern, dramatic decor."
"Red Apron Butcher
WebsiteDirections","3.9
31 Google reviews",$ · Sandwich Shop,"Sandwich shop, gourmet market & butchery with locally sourced meats plus breakfast & lunch fare."
None,None,None,None
"the pig
WebsiteDirections","4.5
138 Google reviews",$$ · American Restaurant,Barn wood on the walls matches the hearty barnyard cuisine at this pork-centric New American eatery.
None,None,None,None
"Horace & Dickie's Seafood
WebsiteDirections","4.3
117 Google reviews",$ · Seafood Restaurant,"Cozy old-school takeaway with renowned fried fish, plus chicken & soul-food side dishes."
"Graffiato
WebsiteDirections","3.7
126 Google reviews",$$ · Italian Restaurant,High-energy Italian restaurant known for serving inventive comfort food in industrial-chic environs.
"Ambar
WebsiteDirections","4.6
147 Google reviews",$$ · Eastern European Restaurant,"Small plates menu of traditional Balkan dishes, plus regional spirits presented in rustic-chic digs."
None,None,None,None
None,None,None,None
"Luke's Lobster Georgetown
WebsiteDirections","4.6
50 Google reviews",$$ · Seafood Restaurant,"Seafood counter serving Maine-style lobster rolls with toasted buns, plus clam chowder & microbrews."
"Maple
WebsiteDirections","3.8
36 Google reviews",$$ · Italian Restaurant,"Light Italian fare is on offer at this casual spot with wines, craft beers & digestives."
None,None,None,None
None,None,None,None
None,None,None,None
"Surfside
WebsiteDirections","3.8
66 Google reviews",$ · Mexican Restaurant,"Tacos, margaritas & more are served cafeteria-style in a narrow room or on the roof deck."
None,None,None,None
DC Coast,"3.9
83 Google reviews",$$$ · Seafood Restaurant,"Upscale seafood menu inspired by American coastal areas, in art deco former bank space with bar."
"Southern Efficiency
WebsiteDirections","4.3
13 Google reviews",$ · Southern Restaurant (US),Stylish restaurant & bar featuring Southern chow & various drinks in understated surroundings.
"Floriana
WebsiteDirections","4.5
61 Google reviews",$$ · Italian Restaurant,"Intimate white-tableclothed bistro offering lasagna & other Italian classics, with weekly specials."
"District Commons
WebsiteDirections","4.0
108 Google reviews",$$ · American Restaurant,Reimagined takes on classic American comfort food served in a vibrant space with swanky style.
"DGS Delicatessen
WebsiteDirections","4.3
62 Google reviews",$$ · Jewish Restaurant,"Artisan deli serving Jewish classics with a contemporary twist, plus cocktails in modern surrounds."
