name,stars,review,cooking_type,address,usd_avg,State,rev,price
David Burke's Primehouse,0.0,"Banish thoughts of musty wood-paneled rooms from your mind and unwind at this chic-and slightly tongue-in-cheek-steakhouse in the boutique James Hotel. Rawhide tablecloths and masculine wood-and-rope décor elements hint at the ranch and open range, though the cocktails and young, trendy clientele at the accompanying bar are strictly urban. The all-American menu offers a wide selection of top-notch beef and hearty sides to match. Skewered cubes of maple syrup-smothered, black pepper-dusted bacon are a playful snack to share, a poppable prelude to the carnivorous courses to follow. Bone-in steaks like the 8-ounce filet are juicy and flavor-packed; many cuts are aged in-house in a Himalayan salt-tiled room for prime attention and coddling.",Steakhouse,"616 N. Rush St., Chicago 60611",62.0,IL,"3.9
154 Google reviews",$$$ · Steak House
Demera,0.0,"Demera's well-lit corner location welcomes hungry Uptown residents looking to immerse themselves in Ethiopian cuisine. Colorful wicker seating at the dining room's communal table gives groups an authentic dining experience, while picture windows offer plenty of people-watching for everyone. Vegetarian and omnivorous offerings abound on the menu, which features a small glossary of terms to help newcomers. Pleasantly spicy ye-siga wot combines tender chunks of beef with onions and ginger in a rich berbere sauce. Served with turmeric-infused split peas and jalapeño-laced collard greens, this stew is a hearty pleasure. Sop up extra sauce with piles of tangy and soft injera, presented in the traditional Ethiopian manner in lieu of silverware.",Ethiopian,"4801 N. Broadway, Chicago 60640",37.0,IL,"4.3
131 Google reviews",$$ · Ethiopian Restaurant
Eleven City Diner,0.0,"Nosh on a mile-high sandwich or chocolate malt at Eleven City Diner, a modern revival of the classic Jewish deli. Gleaming subway tiles play off retro leather booths and swiveling barstools, while jazz in the background keeps things moving with chutzpah and finesse. Diner standards include patty melts, sandwiches piled with corned beef or pastrami, knishes, and latkes. Bubbie's chicken soup comes bobbing with a fluffy matzo ball the size of a baseball; while Junior's cheesecake from Brooklyn or a triple-decker wedge of red velvet cake sates all the sweet-loving guests. A full-service deli counter offers salamis and smoked fish to-go. For a true blast from the past, stop by the candy stand near the entry stocked with Bazooka Joe and other favorites.",Deli,"1112 S. Wabash Ave., Chicago 60605",18.5,IL,"4.2
331 Google reviews",$$ · Diner
Greek Islands,0.0,"This Greektown retreat sports multiple dining areas as well as a perpetually bustling bar. Diners sup among a Disney-fied décor of faux-terraces and balconies, overhangs topped by terra-cotta tiles, and a trellised ceiling entwined with artificial greenery. The chance of a courteous someone whose name ends in ""os"" attending to you is good, but it's the food that has kept the joint hopping for more than 40 years. Salads are crisp and refreshing, pan-seared cheese is flambéed tableside, and the fresh seafood doesn't disappoint: fish are grilled whole, filleted, and dressed simply with herbs, a few glugs of olive oil, and squeeze of lemon. Specialties include spetsofai, house-made sausage sautéed with onions and peppers in a red wine- and tomato-sauce.",Greek,"200 S. Halsted St., Chicago 60661",18.5,IL,"4.3
311 Google reviews",$$ · Greek Restaurant
Green Zebra,0.0,"Named after a popular heirloom tomato variety, Chef/owner Shawn McClain's vegetarian standby is beloved among Chicagoans looking for an upscale meat-free experience. Japanese minimalism inspires the small space's décor, with palms and bamboo lining the entry and earthy tones throughout the room. Diners graze on shared small plates paired with organic and biodynamic wines. Creamy hen of the woods mushroom pâté, served with caramelized Vidalia onion marmalade and toasted bread, ensures that no one misses the meat. Peppery arugula purée and a dollop of crème fraîche balance silky celery root soup. Thin shards of dark chocolate and dense peanut mousse with currant coulis are a match made in vegan heaven; a crushed pretzel garnish gilds the lily.",Vegetarian,"1460 W. Chicago Ave., Chicago 60622",37.0,IL,"4.1
124 Google reviews",$$$ · Vegetarian Restaurant
Hopleaf,0.0,"Perfectly ordinary from the outside, Hopleaf thrives as a labor of love for owners, Michael and Louise. Named after a pale ale brewed in Malta, this serious tavern has beer and food fans in raptures over their stirring selection of sips, snacks, and serious eats. Dine comfortably amid exposed brick walls, steelwork, and shabby-chic furnishings whether seated at the traditional front bar, in the rear, or by the glassed-in kitchen. A great collection of enamel beer signs will put you in the mood for a brew with your Belgian or Thai-style mussels, followed by hearty shavings of porcetta folded into crusty ciabatta with tangy giardinera and creamy mayo. Dinner may flaunt extra variety-but for dessert, fix upon lavender-buttermilk panna cotta crowned with blackberry compote.",Gastropub,"5148 N. Clark St., Chicago 60640",37.0,IL,"4.5
433 Google reviews",Gastropub
Mindy's Hot Chocolate,0.0,"Bucktown wouldn't be the same without this sweet spot run by pastry chef extraordinaire, Mindy Segal. Diners walk past decadent hot chocolate mix and cookies on display before hitting an industrial-chic space fitted out with sleek dark wood, caramel-brown walls, and chocolate-toned leather banquettes. Get the point yet? Decadent chocolate is the name of the game here, though guests will be delighted to discover savory items beyond their expectations. Try the roasted tomato soup, garnished with bright green onion slivers; or the BLT with pesto aïoli, heirloom tomato, avocado, and thick, crispy maple-cayenne bacon. An affogato-a scoop of coffee-cocoa nib ice cream paired with the chef's namesake hot chocolate-makes for the perfect finale.",Contemporary,"1747 N. Damen Ave., Chicago 60647",37.0,IL,"4.2
292 Google reviews",$$ · Dessert Restaurant
Lao Sze Chuan,0.0,"The news clips papering its front windows don't lie: this flagship branch of Tony Hu's mini-chain is a longtime Chinatown hot spot with a second outpost in Streeterville. But hot is a double entendre here, and a crimson-themed décor along with mod acrylic chairs printed with chili peppers clues guests in to the kitchen's propensity for spicing things up. If the book-length menu seems overwhelming, scan the list of favorites at the beginning for a quick pick-be sure to avoid any items marked with a chili if you'd rather walk on the mild side. As for the hits, chili oil and peppercorns give numbing heat to crunchy, translucent sheets of beef tendon, and succulent Xinjiang-style cumin lamb is generously coated in cumin seeds and tossed with fresh, zippy ginger.",Chinese,"2172 S. Archer Ave., Chicago 60616",18.5,IL,None,None
La Petite Folie,0.0,"Though its tree-lined courtyard off 55th Street may not be as picturesque as the Tuileries, La Petite Folie remains a transporting Gallic hideaway in Hyde Park. The graceful lace-curtained dining room and curvaceous wood bar draws scholarly types from nearby University of Chicago, with prices that satiate student budgets. A retinue of French classics like whole trout Grenobloise are refreshed by seasonal market ingredients at the hands of Chef/co-owner Mary Mastricola. Slices of smoked duck drizzled with black currant vinaigrette get an earthy touch from apple-walnut compote in an elegant lunch salad. Even the wine list chosen by Mastricola's husband Michael is an all-French affair, with numerous by-the-glass choices from Bordeaux to Chablis.",French,"1504 E. 55th St., Chicago 60615",37.0,IL,"4.2
20 Google reviews",$$$ · French Restaurant
Lula Cafe,0.0,"Despite a gleamingly renovated kitchen, neighborhood darling Lula Cafe remains the same beloved hangout it's always been. No matter what's on the constantly evolving menu, the fresh, seasonal, and always original fare keeps the casual spot slammed with the creative denizens of Logan Square from morning to night. The mouthwatering fixings in Lula's Royale breakfast sandwich change with the seasons and might include thin slices of meaty, tender short rib, a sunny-side up farm egg, smoky cumin aïoli and bitter orange jam served alongside a salad of vinegary carrot, daikon, and cilantro. Sweet teeth are satisfied by a tall wedge of double-layered carrot cake complete with crème anglaise and a luxurious spoonful of strawberry preserves on the side.",American,"2537 N. Kedzie Ave., Chicago 60647",37.0,IL,"4.5
375 Google reviews",$$ · New American Restaurant
Arun's,0.0,"Dining at Arun's feels like attending a dinner party hosted by a well-traveled friend. Covered wall-to-wall in rich carpeting and filled with artwork and figurines, the dining room feels homey and intimate. Adding to the ambience, the kitchen offers a choice of seven- ten- or 12-course chef's tastings nightly in lieu of à la carte. The dishes on each tasting menu shift according to the chef's whims, and some are more successful than others. Courses range from the familiar and comforting to the innovative: crisp, shatteringly light batter coats two thin strips of pork belly; a hearty chunk of beef tenderloin melts into rich spice-infused massaman curry; and a squirt of lemon balances the fragrant coconut broth and crushed chili peppers of mee kati noodles.",Thai,"4156 N. Kedzie Ave., Chicago 60618",112.5,IL,"4.7
26 Google reviews",$$$$ · Thai Restaurant
Belly Shack,0.0,"Belly Shack's concise menu is an eclectic Asian-Latin mash-up that reflects the Korean and Puerto Rican backgrounds of Chef Bill Kim and his wife, Yvonne Cadiz-Kim. Place your order and take a number-a metal stand that looks like it was made by a high school shop class-then wait for your dishes to arrive. Korean barbecued beef is a favorite, but regulars enjoy new tastes from the roster of daily specials that can include the lechon tostada. This treat is comprised of thinly sliced, slow-roasted pork loin piled high onto a fried corn tortilla with grated sharp cheddar, mashed smoky black beans, and pineapple-cilantro salsa. For dessert, lick up peaks of creamy vanilla soft-serve with topping combos such as caramel and freshly grated Vietnamese cinnamon.",Fusion,"1912 N. Western Ave., Chicago 60647",18.5,IL,"4.2
128 Google reviews",$$ · Asian Fusion Restaurant
Blackbird,1.0,"The bright, very contemporary boxy white façade is a brilliant contrast to its somewhat missable street-just as it has been since its 1997 opening. Inside the white and steel space, find clean lines and a modern aesthetic that moves from the black-and-white artwork to the bare tables and vases that seem to pop with colorful flowers. Service can be brusque, but that never seems to deter the crowds from packing in. Expect a wait. A strong sense of style extends to the cuisine; this is a serious kitchen with an eye on artistic detail and elegance. The à la carte menu may offer dishes like duck rillettes spread on a sunflower seed cracker studded with poppy, raw sesame, and pumpkin seeds as well as compressed apple for a tart counterpoint to the rich duck. Meaty abalone mushroom confit is served with tiny and delicate sweet potato tortellini, braised mustard greens, and green apple in a soy-kissed broth. Finish on a sweet note with the Bourbon gooey butter cake, inventively deconstructed and served with crushed and shatter-thin sheets of caramelized strudel, toasted pecans, and a delectable whoosh of wonderfully seasonal pumpkin pie filling, all topped with whipped goat cheese.",Contemporary,"619 W. Randolph St., Chicago 60661",62.0,IL,"4.2
218 Google reviews",$$$ · American Restaurant
Indian Garden,0.0,"Frequent diners know it as ""The IG,"" but first-timers will appreciate the copious lunch buffet as much as the doctors, med students, and locals. These faithful droves routinely make the trip up a few flights of stairs to get their pakora and tandoori fix on, among kitschy but ornate touches like richly colored fabrics and wafting incense. Though the à la carte menu offers Northern Indian dishes brought to the table in shiny copper vessels, the lunch buffet covers all bases with vegetarian, chicken, and lamb items. Staples like saag, dal, naan, and basmati rice are freshly made. Bhuna gosht mixes succulent lamb with tomatoes, onions, and spices; while lassi or masala tea provide refreshment along with a decent selection of wine, beer, and cocktails.",Indian,"247 E. Ontario St., Chicago 60611",37.0,IL,"3.8
195 Google reviews",Indian Restaurant
Le Bouchon,0.0,"Pressed-tin ceiling? Check. Brick-and-Dijon color scheme? Check. Close-knit tables in a snug space? Check. A warm welcome from an actual Frenchman? Check. Owner Jean-Claude Poilevey has fashioned the quintessential bistro experience at Le Bouchon, where straightforward French food never goes out of style. The informal atmosphere gets convivially raucous as the night goes on with regulars lining the bar and petite dining room. Familiar, approachable favorites rule the menu: soupe à l'oignon, wearing its traditional topper of broiled Gruyère on a moist crouton, oozes and bubbles over the sides of a ramekin; and an ample fillet of saumon poché napped in beurre blanc is the essence of simplicity. A lunch prix-fixe keeps the wallet light but belly full.",French,"1958 N. Damen Ave., Chicago 60647",37.0,IL,"4.1
46 Google reviews",$$ · French Restaurant
Lou Mitchell's,0.0,"At the top of Chicago's list of beloved names is Lou Mitchell. This eponymous diner is by no means an elegant affair, but thanks to its delicious omelets and iconic crowd, it has been on the Windy City's must-eat list since 1923. Don't panic at the length of the lines: they are long but move fast, and free doughnut holes (one of the restaurant's signature baked goods) make the wait go faster. Back to those omelets: they may be made with mere eggs, like everyone else's, but somehow these are lighter and fluffier, almost like a soufflé, stuffed with feta, spinach, onions, or any other ingredients of your choice. They arrive in skillets with an Idaho-sized helping of potatoes. The best part? Everyone gets a swirl of soft-serve at the meal's end.",American,"565 W. Jackson Blvd., Chicago 60661",18.5,IL,"4.2
459 Google reviews",$$ · Diner
Mexique,0.0,"Large groups fill most of the banquettes in this slender space, but a bar stretching half the length of the room makes it easy for smaller parties to stop in for a glass of sangria. A large rear window offers a glimpse of Chef Carlos Gaytan at work in the kitchen, and congratulatory graffiti from visiting chefs provides a fun distraction on the way to the restroom. Many of Mexique's contemporary Mexican dishes are inspired by classical French techniques. From the platos fuertes, the mar y tierra is a delightful composition of Michoacán-style braised pork belly over silken sweet potato purée dressed with a complex dark mole prepared from over 20 ingredients; sea scallop with bacon-apple jam and pickled onions complete this intoxicating one plate feast.",Mexican,"1529 W. Chicago Ave., Chicago 60622",37.0,IL,"4.6
88 Google reviews",$$$ · Mexican Restaurant
NAHA,1.0,"There's a quiet elegance to Chef Carrie Nahabedian's dining room, a sleek, window-wrapped space with contemporary accents of concrete, wood, and greenery. Here, patrons aren't groupies checking off the latest table on their do list, but rather connoisseurs experiencing a magnificent meal with exceptional service. If your idea of relaxation starts with pre-dinner drinks, the sizable bar and smattering of tables in the front lounge are an open invitation to begin. Despite its understated environs, NAHA's sweeping carte of seasonally driven Mediterranean cuisine is anything but. Shining starters include succulent lamb boereg, a delicate phyllo-wrapped parcel of ground meat plated with strained yogurt, juicy red pomegranate arils, and refreshing watercress salad. Perfectly toothsome and loaded with seasonal produce, the risotto is always a hit, while entrées like pan-seared Arctic char dressed with beluga lentils, mustard seeds, and savory apple-celery broth are a breath of fresh air. Dessert highlights include the house sundae-a perennial favorite that's reimagined each season-and the gâteau Basque, a warm vanilla custard cake served with brown butter ice cream, corn pudding, and cubed pears.",American,"500 N. Clark St., Chicago 60610",62.0,IL,"4.4
91 Google reviews",$$$ · New American Restaurant
Pelago,0.0,"Adjacent to Hotel Raffaello, the elegance of this brick structure is accentuated by large arched windows. Inside, the bi-level room wears a crisp style à la high ceilings, eminently comfortable leather seats, and a soft azure-blue color scheme. If the décor doesn't transport you to the Mediterranean in a flash, look to the regional Italian menu with ingredients imported directly. A salad of plum tomatoes topped with creamy burrata and fragrant basil in a light dressing is as inherently satisfying. So, too, are pasta signatures including rich risotto alle verdure or creamy ricotta-filled ravioli swimming in a vibrant sauce of spinach and showered with slivers of nutty parmesan. Swap dessert for a fine selection of imported cheeses, and never look back.",Italian,"201 E. Delaware Pl., Chicago 60611",62.0,IL,"4.2
45 Google reviews",$$$ · Italian Restaurant
Phoenix,0.0,"Dim sum lovers get the best of both worlds at Phoenix, a comfortable room that boasts a grand view of the Chicago skyline. Here, stacks of bamboo baskets are wheeled to tables on signature silver trolleys for a classic dim sum experience-yet each diner's selection is cooked to order for truly fresh and steaming hot bites. The proof is in the soft and poppable shrimp-and-chive dumplings and the fluffy white buns stuffed with chunks of barbecue pork. Those looking for larger portions will appreciate the meandering menu, which also boasts Hong Kong-style stir-fry and clay pot dishes alongside Americanized Chinese classics. Fillets of steamed sea bass swim in soy oil on a large oval platter, sprinkled with a touch of slivered scallion to brighten the delicately flaky fish.",Chinese,"2131 S. Archer Ave., Chicago 60616",18.5,IL,"4.1
126 Google reviews",$$ · Chinese Restaurant
RL,0.0,"If you swoon for tartan and pine for the posh life Ralph Lauren represents, head for the boîte attached to the flagship Michigan Avenue store. Like a stylish private club but without the centuries of stuffiness, RL offers options for a quick solo lunch, cocktail at the mahogany bar, or full dinner. The odd Blackhawks jersey here and there doesn't detract from the overall aura. The menu is as classically American as the name, featuring bistro favorites like Waldorf salad and raw bar offerings alongside well-prepared dishes like sweet and plump pan-seared scallops with white balsamic-crème fraîche. The thin, flaky crust of a goat cheese- and caramelized onion-tart nearly steals the show from the rich atmosphere of the wood-paneled dining room.",American,"115 E. Chicago Ave., Chicago 60611",62.0,IL,"4.3
68 Google reviews",$$$ · American Restaurant
Sepia,1.0,"When a restaurant's excellence is this consistent, it should come as no surprise that the First Lady names it as one of her favorites. Set inside a 19th century print shop, the historic dining room does a fine job mixing original details with modern touches. Muted tones in the exposed brick walls and custom tile flooring complement newer elements like floor-to-ceiling wine storage and dramatic smoke-shaded chandeliers that drip with crystals. Though the décor may tip its hat to yesteryear, Chef Andrew Zimmerman's cuisine is firmly grounded in the 21st century. Whether you visit for lunch or dinner, meals here always seem to reflect the amalgam of American cuisine, with hints of Southeast Asian, Korean, and Mediterranean tastes. Potato gnocchi may seem commonplace, but this version is memorable thanks to the flawless components and rich, profound flavors of lamb sugo with crunchy bits of ciabatta breadcrumbs. Chicken here is downright exciting, served tender and crisp-skinned with a supremely buttery Albufera sauce, crumbly chestnuts, caramelized fennel, and sausage. Simple-sounding desserts keep the bar high, with offerings like toffee-coconut cake with chocolate ganache and burnt caramel.",American,"123 N. Jefferson, Chicago 60661",62.0,IL,"4.3
116 Google reviews",$$$ · American Restaurant
Southport Grocery,0.0,"Equal parts specialty grocery and upscale diner, this Southport Corridor hot spot draws quite a crowd. Local products and in-house goodies are stocked in the front of the narrow space, while the rear offers comfortable banquettes for a casual sit-down meal. Breakfast is served as long as the sun shines, with options like a freshly baked and buttered English muffin stuffed with ginger-sage sausage, a vibrant orange sunny side-up egg, and sweet pepper jelly. A side of red bliss potatoes sweetens the deal, but if you're really looking for something sugary, the grilled coffee cake is a double-layered cinnamon and cream cheese delight. Craving more of your meal? You're in luck: certain menu items, denoted with an asterisk, are available for purchase up front.",American,"3552 N. Southport Ave., Chicago 60657",18.5,IL,"4.4
109 Google reviews",$$ · Cafe
The Bristol,0.0,"Get to know your neighbors a little better at this dim, bustling haunt boasting a lineup of seasonal American treats with a Mediterranean twist. Regulars sit shoulder-to-shoulder at thick butcher block communal tables or at the concrete bar, squinting under filament bulbs to see the constantly changing menu's latest additions on chalkboards throughout the room. After sharing a Moscow Mule in a frosty copper mug, duck fat fries, or monkey bread with dill butter, it might be time for messy elotes tossed with sweet chili jam to be licked off each finger; or an heirloom tomato tart with a SarVecchio cheese crust and shaved onions. Do the right thing and save room for homemade Nutter Butter cookies with dark chocolate sabayon for dipping.",American,"2152 N. Damen Ave., Chicago 60647",37.0,IL,"4.2
106 Google reviews",$$ · American Restaurant
The Publican,0.0,"The phrase ""meat market"" has many connotations at The Publican: everything about this bustling Fulton Market spot is communal, from the sprawling U-shaped table that dominates the space and the penned-in booths lining the perimeter to the sink outside the washrooms. That said, the ubiquitous pig-centric décor gives a more straightforward idea of what you'll find on the menu. As expected, pork takes precedence here with rillettes, platters of paper-thin aged ham slices, and house-made blood sausage to pair with one of the superlative beer selections. Weekend brunch gets in on the game with thickly sliced Publican bacon basted with Burton's maple syrup, or savory mushroom-and-chard French toast topped with roasted tomato and a fried egg.",Gastropub,"837 W. Fulton Market, Chicago 60607",37.0,IL,"4.4
497 Google reviews",$$$ · American Restaurant
Gene &amp; Georgetti,0.0,"No, it's not a Hollywood set. This Italian-American steak joint is the real thing, and those wiseguys at the bar have been clinking their ice cubes in this wood-paneled room for decades. The historic spot, founded in 1941, is boisterous downstairs with the aforementioned regulars and guys grabbing a bite; upstairs is more refined for local politico lunches and a bit of old-school romance at dinner. Gene & Georgetti is a steakhouse with an Italian bloodline, prominently displayed in the heaping helping of fried peperoncini and bell peppers with the signature ""chicken alla Joe."" The cottage fries (oversized potato planks that come with most entrées) might necessitate a doggie bag, but all the better to leave room for a slice of classic carrot cake.",Steakhouse,"500 N. Franklin St., Chicago 60610",112.5,IL,"4.0
144 Google reviews",$$$ · Steak House
Piccolo Sogno,0.0,"In-the-know locals craving mouthwatering Italian fare head to this swanky spot, usually packed with a dressy crowd. Inside, they are welcomed by a palette of rich, cool hues, crystal-beaded light fixtures that hang overhead, and an open kitchen boasting a wood-burning oven. Piccolo Sogno's rustic, yet refined menu offers traditional dishes with a twist. A version of the ubiquitous beet salad (both red and golden) is elevated here by shaved fennel, a drizzle of bright citrus oil, and a dollop of creamy, lush buffalo milk ricotta. If you need further encouragement, let us recommend the rabbit. Braised in a white wine sauce redolent of rosemary and lemon, the tender meat is served with wilted escarole and porridge-like semolina pudding.",Italian,"464 N. Halsted St., Chicago 60642",37.0,IL,"4.3
120 Google reviews",$$$ · Italian Restaurant
Vermilion,0.0,"Andy Warhol would feel right at home among these silver-painted brick walls, high-fashion black-and-white photographs, metallic chairs, and curtains. The cool lounge atmosphere is best for dressed-up evenings or a celebratory Latin-tinged cocktail at the bar. Two expansive menus-one vegetarian, the other carnivorous-encompass Indian-inspired tapas and street foods. If feeling overhelmed by the choices, stick to the chef's specialties or go for the prix-fixe and let the kitchen decide. Meaty delicacies include spice-rubbed Mysore lamb chops with pink pickled onions. Gobi Portuguese lets tart tomatillo chutney and crunchy eggplant offset sweet coconut gravy and tender cauliflower. Shahi tukra pleases the palate with crisp fried semolina cakes drenched in caramel sauce.",Indian,"10 W. Hubbard St., Chicago 60654",37.0,IL,"3.5
69 Google reviews",$$$ · Indian Restaurant
