name,stars,review,cooking_type,address,usd_avg,State,rating,price,cuisine
Willow Wood Market Cafe,0,"Whether they're fueling up for work or for wine tasting, a down-to-earth crowd can always be found at this friendly, casual neighborhood diner, full of quirky local art, shelves stocked with gag food gifts and local sundries. Then there's also that big wall of wines (this is Sonoma, after all). Waitresses shout orders, coffee comes from serve-yourself thermoses, and guests couldn't be happier. Get your veggies with the generously portioned farmer's scramble, full of soft and spicy peppers and onions, not to mention plenty of creamy white cheddar and springy, meaty New Mexican chicken-turkey sausage. For a sweet tooth, the challah French toast, golden-brown and topped with a generous scoop of cinnamon butter and chopped pecans, is where it's at.",Californian,"9020 Graton Rd., Graton 95444",37,CA,4.2,$$,Mediterranean
John Ash &amp; Co.,0,"The Vintner's Inn's restaurant-where the terra-cotta walls, wrought-iron chandeliers, and a flickering fireplace lead to acres of vineyards-exudes the romance of a Tuscan farmhouse. Yet even solo diners can enjoy a taste of John Ash thanks to the clubby Front Room, where the hunting-lodge vibe meets a chic bar menu of sweet-and-sour meatballs or avocado fries. The food here emphasizes seasonal ingredients, and on-site gardens provide much of the produce. Expect the likes of zippy tuna tartare with sriracha a��oli and house-pickled ginger, or chorizo-crusted sea bass over beans and roasted cauliflower. Noted Sonoma winery Ferrari-Carano may own the inn and dominate the wine list, but other fine local and international selections are also available.",Californian,"4330 Barnes Rd., Santa Rosa 95403",62,CA,,,
Cafe La Haye,0,"For years, Cafe La Haye has been a standby off the square in downtown Sonoma. One bite of its luscious burrata, surrounded with Early Girl tomatoes and crispy squash blossoms in the summer, or vinaigrette-dressed pea shoots in spring, proves it hasn't aged a day. The small, modern space is still charming, with large windows and lots of mirrors. Stunning local artwork for sale decorates the walls. The food spans cultural influences, including a delicate risotto with pine nuts in a cauliflower broth, or soy-sesame glazed halibut atop whipped potatoes and braised kale. A postage stamp-sized bar pours glasses of Sonoma chardonnay and cabernet, perfect with rich strozzapreti tossed with braised pork rag�_, Grana Padano, and toasted breadcrumbs.",Californian,"140 E. Napa St., Sonoma 95476",37,CA,4.6,$$$,Cafe
Della Santina's,0,"Diners at this homey trattoria off Sonoma's town square are treated like members of the Della Santina family, whose vintage photographs fill the walls and whose treasured family recipes pour out of the kitchen regularly. From the first welcome to the final goodbye, the namesake tribe is here to look after you, with warm smiles and friendly pats on the back. The rustic food has its roots in Tuscany, with favorite dishes like pappardelle in a rich, hearty duck sugo with chunks of tender garlic and sweet tomato. A spatchcocked roast quail has juicy flesh and a beautifully browned, spice-coated exterior, alongside a heaping helping of nutty wild rice and meaty mushrooms. On the way out, grab a bottle of Italian wine from the enoteca next door.",Italian,"133 E. Napa St., Sonoma 95476",37,CA,4,$$,Italian
Fringale,0,"This tech-centric corner of SoMa has seen booms and busts aplenty since the restaurant's opening in 1991, but Fringale has held strong, with a loyal squad of regulars who come for a taste of its Basque-inflected French cooking. The timeless d̩cor starring clean wood furnishings and soft lighting is ideal for a business lunch or date night. Start with the tasty calamari �� la plancha-its topping of briny black olives and sliced jalape̱os clearly differentiates Fringale from its tired bistro competition. After the mostly French staff recommends a wine, dive into the juicy roasted chicken breast over fluffy Israeli couscous and crunchy fennel. Finish with a creamy, nutty hazelnut-and-roasted almond mousse cake, drizzled with rich dark chocolate, of course!",French,"570 4th St., San Francisco 94107",37,CA,,,
Boulevard,0,"Housed in one of the city's most historic buildings, this Belle ��poque stunner is still breathtaking after more than 20 years, with glamorous mosaic floors, colorful glass, and polished bronze at every turn. The Embarcadero-adjacent location offers lovely views of the Bay Bridge and the water, and business lunchers as well as evening romance-seekers adore its transporting vibe. Chef/owner Nancy Oakes is known as a pioneer of Californian cooking, with comforting takes on standards like Dungeness crab with avocado and ruby-red grapefruit, burrata served with a side of shaved kale, and flaky halibut over a mashed potato cake. Sweets are notable: try the pear- and apple-studded winter symphony crisp or creamy butterscotch pudding with pecan granola for a bit of bliss.",Californian,"1 Mission St., San Francisco 94105",62,CA,,,
Barndiva,0,"Pristine ingredients are the real stars at this decidedly un-diva-like restaurant, which thoughtfully showcases California's bounty. Beautifully composed salads, like a combo of romaine, apples, avocado, blue cheese, and bacon, shine bright; while creative takes on croquettes (with goat cheese and tomato jam) and lobster rolls (a ""club"" with bacon, tomato, and arugula) don't sacrifice balance or technique. With a thoughtfully constructed cocktail menu boasting an array of spirits, herbs, and infusions, Barndiva offers lots to explore off the plate. Witty decorative touches like two-story green velvet curtains and a wall-hanging made of wood shoe stretchers only add to the fun. And for post-meal perusing, there's even an art gallery located right next door.",Californian,"231 Center St., San Francisco 95448",37,CA,4.3,$$$,American
Hana,0,"Rohnert Park denizens continue their love affair with this little gem of a spot, tucked in a hotel plaza next to the 101, and run by affable owner, Chef Ken Tominaga, who sees to his guests' every satisfaction. For the full experience, park it at the sushi bar where the obliging chefs can steer you through the best offerings of the day. Traditional, fresh sushi and Japanese small plates are the secret to Hana's success, though simply exquisite items like pan-seared pork loin with ginger-soy jus, and pots of steaming udon also hit the spot. The chef's omakase is a fine way to go-six pieces of nigiri which could include toro, hamachi belly, kampachi, tai, halibut with ponzu sauce, or sardine tangy from lemon juice and sprinkled with Hawaiian lava salt.",Japanese,"101 Golf Course Dr., Rohnert Park 94928",37,CA,,,
Market,0,"St. Helena's scenic main drag is a trip back to the '50s, complete with quaint shops and an old-school movie theater. But, the food at this legendary downtown fixture is happily modern. Lobster rolls forgo buttered buns for Vietnamese-inspired rice paper with avocado and mango (all dipped in a delicious cilantro-basil-lime sauce); while a seared steak sandwich, loaded with onion and jack cheese, gets a spark from pickled jalape̱o. Childhood-inspired s'mores for dessert end the meal on a nostalgic and graceful note. The massive mahogany bar (a magnificent eBay find) is the heart of the pleasant space, which boasts stone-covered walls and big, open windows for prime people-watching. Service is friendly and fuss-free, not unlike its picturesque surrounds.",American,"1347 Main St., St Helena 94574",37,CA,,,
Wine Spectator Greystone,0,"The kitchen is the classroom at the Culinary Institute of America's West Coast training restaurant, housed (along with the school) in the former Christian Brothers ch̢teau. The big, visually impressive room-with stone walls, copper lighting, and display of oversized spoons and whisks-is a comfortable perch in which to watch students at work in the open kitchen. Dishes are conceived and prepared using local and seasonal ingredients with global influences. Though the menu may change daily, expect the likes of roast quail, moist with lightly crisped skin, served with carrot-parsnip pur̩e and squash ribbons. Swordfish arrives fresh and meaty, accompanied by lemon risotto and a bisque-like sea urchin broth packed with flavor.",Californian,"2555 Main St., St Helena 94574",62,CA,,,
Press,0,"It's hard to get more wine country-chic than this gorgeous farmhouse-inspired restaurant, perfectly situated along the St. Helena highway, for wrapping up a day of wine tasting. With a wood-burning fireplace, soaring ceilings, and rich leather chairs, it's a genuine looker, drawing an affluent crowd of tourists to relax and savor some great vino. The casual yet chic vibe extends to the steakhouse menu, where gorgeous grass-fed bavettes and buttery filet mignons can be seen on nearly every table. You'll definitely want to order some of the generously portioned sides, like earthy brown butter mushrooms or caramelized Brussels sprouts with bacon, which can easily feed four. Velvety sunchoke soup with walnut yogurt is yet another exquisite addition.",Steakhouse,"587 St. Helena Hwy., St Helena 94574",112.5,CA,,,
La Toque,1,"You'll want to tip your own toque in appreciation after a luxurious meal at this downtown Napa palace of fine dining, which blends a serious approach to cuisine and service with just enough cheeky touches to keep things lively. Housed on the grounds of the Westin Verasa Napa, La Toque may boast an oversized inflatable chef's hat hanging above its walkway, but it's the soul of modern sophistication inside, with rich, leather-topped tables, a flickering fireplace, and an extensive wine list-proffered on an iPad. Service is particularly notable, and the well-trained, knowledgeable staff moves in perfect synchronicity amongst a dressed-up crowd of diners savoring special occasions. Choose from a four- or five-course �� la carte menu, with exquisite offerings like hand-rolled cavatelli in a deep green nettle pesto or luscious seafood congee packed with Dungeness crab and woodsy matsutake mushrooms. The trio of lamb is a real highlight, boasting slow-cooked collar, succulent merguez sausage, and moist, juicy loin. For dessert, a creamy semifreddo in apple broth is the perfect conclusion: like the restaurant itself, it's equal parts glamorous, homey, and exceptionally delicious.",Contemporary,"1314 McKinstry St., Rutherford 94573",62,CA,4.4,$$$$,French
Chez Panisse,0,"For avid gourmets, Alice Waters' mecca of Californian cuisine needs no introduction. Housed in a beautiful Craftsman-style home, it's divided in two: the upstairs caf̩ offers more casual fare, while the elegant downstairs restaurant serves a nightly prix-fixe menu. Both spaces teem with copper light fixtures, displays of seasonal foliage, and vintage glassware. The restaurant prides itself on serving every ingredient at peak season, from the raspberries in a prosecco aperitif to the delicate Black Prince tomato that tops handmade roasted eggplant ravioli. Many dishes are cooked at the wood-fired hearth, like a delectably smoky pork loin with sweet corn and fried squash blossoms. This icon books up early; be sure to reserve a month in advance.",Californian,"1517 Shattuck Ave., Berkeley 94709",112.5,CA,4.5,$$$$,Californian
Tacubaya,0,"Megapopular Oakland Mexican restaurant Do̱a Tomas is reincarnated in taqueria form at this Berkeley shopping complex, where families grab a bite before or after errands. A line of people extends out the door from morning until night, ordering tangy limeade at the counter and claiming seats in the festive pink-and-orange dining room or on the sunny front patio. The crowds come for chilaquiles and churros at breakfast, then transition into flavorful chorizo-and-potato sopes with black bean pur̩e at lunch. Moist, well-seasoned beef enchiladas are doused in a smoky, tangy guajillo-tomatillo sauce and covered with melted cheese. For a sweet finish, tamales filled with cranberry jam and drizzled with goat-milk caramel are both beguiling and unusual.",Mexican,"1788 4th St., Berkeley 94710",18.5,CA,4.1,$$,Mexican
�� C̫t̩,0,"A long-running small-plates icon set within the posh stores of Rockridge, �� C̫t̩ nearly always requires a wait-only a handful of seats are available for reservations. But, after settling into a cozy wood table or perhaps at the granite bar, a lively, very communal vibe will ease any irritation. Forty-plus wines offered by the glass augment the appeal. The seasonal menu has a French affect, discernable in plump fava bean falafel set atop tart tahini and pickled turnips; or green-garlic soup with a fromage blanc crouton. Entr̩es like seared yellowtail Jack brightened with asparagus, spring onion, and a Meyer lemon-blood orange relish perk up the palate; while a wood-fired oven and heated patio provide comforting warmth for indoor and outdoor meals.",Mediterranean,"5478 College Ave., Oakland 94618",37,CA,,,
Pizzaiolo,0,"Lines are still a given at Temescal's pizza palace. In fact, find eager patrons arriving before the doors even open. A smattering of entr̩es and hearty plates like king salmon baked on a fig leaf with asparagus and mint yogurt evoke spring on a plate. But, crowds are here for their pies, crisp from the wood-burning oven and topped with the finest and freshest of ingredients like tangy tomato sauce, house-made sausage, and decadent panna. The large dining room with handsome plank floors and dark wood tables centers around the exhibition kitchen lined with bowls of pristine local produce. Couples and groups gather at tables or pack the polished wood bar. Add on a rich caramel pot de cr̬me and the endless queues will start to make sense.",Pizza,"5008 Telegraph Ave., Oakland 94609",37,CA,4.4,$$$,Italian
Picco,0,"Picco is Italian for ""summit,"" and this charming Larkspur hilltop home has long been a beacon among Marin county diners. Chef/owner Bruce Hill is a true local-food devotee; his Italian-influenced fare heaps on Marin ingredients like the fresh turnips that dot his silky-smooth duck tortelli; or the Meyer lemon yogurt and beets that sit atop a nourishing kale salad. The three-course ""Marin Mondays"" menu is a particular steal. The precise staff moves ably through the busy dining room, carrying bowls of creamy risotto made on the half-hour. With a high ceiling and exposed brick walls, the vibe is graceful but never fussy, making this the perfect setting for couples and groups of friends who congregate here. Also check out Pizzeria Picco next door.",Italian,"320 Magnolia Ave., Larkspur 94939",37,CA,,,
Bungalow 44,0,"Nestled amid the fancy stores of quaint Mill Valley, vibrant Bungalow 44 draws a varied crew to its casual, contemporary environs. It's always busy at the bustling bar and slightly more subdued dining room, so for some peace and quiet, retire to the tented outer room with its glowing fireplace. Some prefer the counter to soak up the sizzle from the open kitchen. Playful American cuisine is their dictum which shines through in tuna carpaccio-an homage to Italian antipasto-here starring tissue-thin slices of tuna served with citrusy mizuna and creamy mustard sauce. The whiff of cayenne from kickin' fried chicken is as tempting as the juicy meat-add the rich mashed potatoes. Local draft wines paired with pillowy-soft beignets make for a rewarding finish.",American,"44 E. Blithedale Ave., Mill Valley 94941",37,CA,4.1,$$$,New
Insalata's,0,"San Anselmo restaurateur Chef Heidi Krahling honors her late father, Italo Insalata, at this crowd-pleasing Marin hangout. The zucca-orange stucco exterior alludes to the Mediterranean air within. Insalata's upscale setting is framed by lemon-yellow walls hung with grand depictions of nature's bounty setting the scene for the array of fresh and flavorful cuisine to come. Sparked by Middle Eastern flavors, Insalata's specialties include velvety smooth potato-leek soup made brilliantly green from watercress pur̩e. Also sample grilled lamb skewers drizzled with cumin-yogurt atop crunchy salad and flatbread. The takeout area in the back is stocked with salads, sides, and sandwiches made with house-baked bread. Boxed lunches are a fun, tasty convenience.",Mediterranean,"120 Sir Francis Drake Blvd., San Anselmo 94960",37,CA,3.9,$$,Mediterranean
Poggio,0,"You might forget you're not on the Adriatic coast midway through a meal at this Sausalito standby, where the Italian flavors are authentic and the views of yachts bobbing in the harbor add to the charm. Local regulars and tourists alike arrive early to snag one of the prime sidewalk seats overlooking the main drag; inside, the elegant dining room boasts a roaring pizza oven. California-influenced appetizers like seared scallops with sunchoke pur̩e and aromatic veal jus segue into comforting pastas-pappardelle tossed with braised pork ragout and parmigiano, anyone? Half-portions are available on every pasta and risotto, a bonus for those who want to save room for entr̩es like grilled yellowfin tuna with asparagus, green olives, and caramelized fennel.",Italian,"777 Bridgeway, Sausalito 94965",37,CA,,,
Sushi Ran,0,"Chefs have come and gone at this Sausalito staple, but its Zen-like atmosphere and exquisite selection of raw fish haven't changed for upwards of a decade-and that's just how the regulars like it. With its charming beachside-bungalow ambience, attentive staff, and thoughtfully curated sake selection, Sushi Ran is as dependable as a restaurant can get. Start off with a small bite like shrimp tempura over crisp veggies, tobiko, and asparagus, or a steamed red crab salad with seaweed, cucumber, and sweet soy dressing. Then move on to the main event: meticulously sourced, extraordinarily fresh hamachi, big-eye tuna, steamed blue prawns, and Santa Barbara uni. Whether you choose sashimi or nigiri, the talented chefs will steer you right.",Japanese,"107 Caledonia St., Sausalito 94965",37,CA,4.5,$$$$,Japanese
Left Bank,0,"The very picture of a neighborhood bistro, Left Bank's breezy ambience and oh-so-French fare have really hit home with Larkspur locals. Inside, a lovely stone hearth is surrounded by cheery yellow walls and vintage French posters, while the wraparound terrace outdoors is the place to dine on a lazy summer afternoon. The kitchen does French classics to perfection, including a charcuterie board groaning with hefty portions of truffle-flecked chicken liver mousse, duck and pork rillettes, and country p̢t̩. Tender rainbow trout Grenobloise arrives with grilled Proven̤al country bread, soaked in savory herb-and-garlic butter. Finish with fresh profiteroles, stuffed with vanilla ice cream and topped with rich, not-too-sweet dark chocolate sauce.",French,"507 Magnolia Ave., Larkspur 94939",37,CA,,,
Frantoio,0,"Named after the olive press used in olive oil production throughout Italy, Frantoio is distinguished by its own house-made olive oil, cold-pressed in a hefty granite contraption displayed just off the dining room. Bottled and sold on-site, this stellar product beams atop shavings of Prosciutto di Parma with arugula and mozzarella di Bufala. Baked sea bass fillets are spread with an herbaceous horseradish crust-big on flavor but gentle on garnishes like chive-infused olive oil. Though its proximity to Highway 101 and roadside hotels isn't pleasant, an orange-and-charcoal color scheme and lofty ceilings ensure that the surrounds become a quickly fading memory. Also of assistance: perfectly crisp Neapolitan pizzas, quenched by some fine wines.",Italian,"152 Shoreline Hwy., Mill Valley 94941",37,CA,,,
March̩ aux Fleurs,0,"Its dark wood dining room is charming, but March̩ aux Fleurs truly comes alive on warm spring and summer evenings, when Marin residents flock to the picturesque hamlet of Ross to enjoy a meal on its front patio. Mediterranean-inspired eats with a California twist are what these patrons are after-imagine soft gnocchi with corn and chanterelles or squash blossom tempura with fresh ricotta and you will start to grasp the picture. Local couples love it here and though many are regulars, even first-timers receive a friendly welcome from the engaging staff. Groups are everywhere and their smiles omniscient as they savor bacon-wrapped king salmon over sweet corn and green garbanzo succotash; or split bites of warm chocolate cake with vanilla bean ice cream.",Mediterranean,"23 Ross Common, Ross 94957",37,CA,,,
Campton Place,2,"With its sleek booths, wall-to-wall windows, plush carpeting, and pristinely robed tables, this elegant oasis in the Taj Hotel is as formal and traditional as one would expect; even the dining room's pi̬ce de r̩sistance, a blown-glass floral chandelier that hangs from the coffered ceiling, is elegant and sophisticated An odd mix of gourmands and hotel guests keep the vibe desultory inside, but by greeting each diner as they enter, the staff maintains a sense of refinery that is true to this contemporary Cal-Indian menu. Courses, which arrive on charcoal-glazed ceramics, allude to Indian spices but honor outstanding skill and taste over drama or novelty. Lighter dishes cover all bases of flavor and texture as witnessed in a modern expression of chaat (carrots, peas, and tamarind tossed in ""whey shorva"" dotted with chutney); or spicy, pan-fried potato-corn tikkis lodged atop a bright salad of plum brunoise and cilantro. Dollops of tangy lime curd expertly complete this sublime, seasonal plate, while charred potatoes and leeks accentuate a decadent butter-poached Maine lobster. Just as slow-cooked meat dishes have an elegant undertone of garam masala, for dessert, tandoori strawberries with lemon ice cream may under-promise on paper but will over-deliver on taste and flavor.",Indian,"340 Stockton St., San Francisco 94108",112.5,CA,4.5,$$$$,Indian
Farallon,0,"Union Square's lauded seafood respite is an aquatic-themed fantasy at every turn. Dive in and enjoy an extravagant platter of fruits de mer while admiring their thematic, custom-made chandeliers and bar stools in The Jellyfish Lounge. Also known as the Jelly Bar, it's a San Francisco institution unto itself. Then head to the Pool Room (it once served as the pool room of the Elks Club) to dine on the kitchen's coastal cooking amid sparkling mosaics and a vaulted ceiling. A raw first course unearths yellowtail sashimi adorned with garlicky a��oli, finely chopped piquillo peppers, and dollops of basil chantilly. Following that is an entr̩e of crisp-skinned grilled salmon, accompanied by torn croutons, heirloom tomatoes, red onions, and balsamic vinegar.",Seafood,"450 Post St., San Francisco 94102",62,CA,,,
A16,0,"An undying favorite of yuppies, families, and tourists alike, A16 is known for rustic Italian cooking and a vast selection of delicious, unusual wines from all over the boot. Dinner reservations are indispensable, especially if you want one of the prime counter seats facing the open kitchen and wood-burning pizza oven. The menu's pies, pastas, and antipasti change with the season, so you could sample anything from perfectly al dente bucatini with roasted cherry tomatoes, garlic, and flaky white anchovies to grilled bruschetta piled with caramelized prosciutto, creamy ricotta, cherry tomatoes, and blistered shishito peppers. For dessert, look no further than the fig crostata with vanilla gelato, which tastes like the work of a particularly talented nonna.",Italian,"2355 Chestnut St., San Francisco 94123",37,CA,4.2,$$$,Italian
Dragon Well,0,"This Marina mainstay nestled among the posh boutiques of Chestnut Street has been at it for over a decade. Westernized classics crafted with fantastically fresh ingredients are the secret to their ongoing success. Inside, high ceilings with sunny skylights and butter-yellow walls evoke an airy feel, while framed photos depict the everyday life of the vast Chinese culture. Pop in for a shopping break and nosh on tasty tea-smoked duck, served with hand-made steamed buns, thick hoisin sauce, and julienned leeks; or Chinese chicken salad, mixed with cilantro and a lemon-soy vinaigrette. The Kung Pao chicken, stir-fried with roasted peanuts and chili sauce, is fiery but never overpowering. Sweeten things up with a chocolate (or traditional) fortune cookie.",Chinese,"2142 Chestnut St., San Francisco 94123",18.5,CA,3.9,$$,Chinese
Florio,0,"After a day of shopping in the neighboring boutiques, locals head to Florio to nurse a glass of wine at the bar or to meet friends for a casual dinner. Complete with linen-topped tables, wood floors, and relaxed furnishings, it has the cozy, romantic vibe of an authentic bistro, and you're likely to see plenty of couples (sometimes in duos) out for a date night. The approachable French-cum-Italian menu is full of hearty crowd-pleasers, like a salad of shaved summer squash with mint, pea tendrils, and dollops of creamy ricotta; or a juicy, deep-brown roast chicken laid over caramelized onions and blistered mild peppers. For a delicate finish, try the buttery almond tea cake, accompanied by sweet corn ice cream and tart blackberry verjus.",Italian,"1915 Fillmore St., San Francisco 94115",37,CA,,,
Greens,0,"Annie Somerville's pioneering vegetarian restaurant has been around since 1979, but neither the menu nor the surroundings show Greens' age. Instead, fresh, energetic cuisine abounds, with a light touch and a slight Italian bent. Brunch draws a big crowd, so be prepared to wait for those perfectly fried eggs over griddled potato cakes. Vegetarians and carnivores will rejoice after sampling the honest, colorful, down-to-earth seasonal entr̩es at dinner, followed by delightful desserts like an huckleberry upside down cake with a subtle kick from Meyer lemon. Housed in historic Fort Mason, the warehouse-style space is rustic yet refined, with sweeping views of the Golden Gate Bridge and sailboats on the Bay. For a quick lunch, there's also a to-go counter.",Vegetarian,"Building A, Fort Mason Center, San Francisco 94123",37,CA,,,
Mamacita,0,"An eclectic mix of young families, stylish hipsters, and see-and-be-seen Marinaites may pack its tables, but this hot ticket has more to offer than looks alone. The talented kitchen's creative takes on Mexican flavors are always on-point, from shrimp ""al pastor"" tacos with a sweet-spicy apple-mango salsa, to molotes, masa fritters oozing a delectable mixture of smoky ground beef and Monterey Jack cheese; as well as esquites, chile-inflected roasted corn with cotija and crema. Mamacita's food is deeply flavorful, varied, and made for sharing (but you'll want to make a reservation if you bring a big group, because just about everyone has the same idea). Stuck with a wait? Head to the front bar for a tasty mezcal cocktail or three to help ease the sting.",Mexican,"2317 Chestnut St., San Francisco 94123",37,CA,4.2,$$,Mexican
